idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,5,SHR_XOR,2,4,1,0x989B26C8CD4C3F2E,23
1,0,XOR,7,0,7,0xFCE3727E47A62003,23
2,5,SHR_XOR,3,1,0,0x59517D20E10DA3BE,23
3,8,AND_NOT,0,1,5,0x2BCE11665A1EB03B,23
4,0,XOR,6,0,1,0xCB3C210C06BCAC1C,23
5,5,SHR_XOR,5,4,2,0x882D523275FD879A,23
6,8,AND_NOT,5,3,2,0xD541869536CE484F,23
7,9,OR_SHIFT,3,3,4,0x8C578ABDB7CEC4DA,23
8,12,BSWAP,7,2,1,0x48A6BD5C5C5EB9FD,23
9,14,ADD_ROT,6,1,5,0x18DC2B141A336850,23
10,1,ADD,5,1,0,0x954BA452219BC59D,23
11,7,ADD_CONST,1,5,3,0x0CCCA5DCAB271FE1,23
12,5,SHR_XOR,5,0,0,0x1BF4901CF54D94A4,23
13,7,ADD_CONST,6,1,6,0xEEDE76F1FAB27147,23
14,1,ADD,4,5,3,0x403A761762B5D518,23
15,9,OR_SHIFT,4,4,0,0xED630DA28914B1DE,23
16,7,ADD_CONST,5,3,4,0xDEBD84F5E021BCE3,23
17,4,SHL_XOR,3,7,4,0xEE3326DCDED32F75,23
18,1,ADD,6,3,7,0x239CCD633EFE5266,23
19,14,ADD_ROT,3,0,3,0xCC6C980CB8D80D6B,23
20,1,ADD,3,6,0,0x0C8778C2A4D5F238,23
21,8,AND_NOT,7,7,4,0x99EE4438EE16F2D3,23
22,12,BSWAP,7,1,1,0xE400FB8352B2139A,23
