idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,8,AND_NOT,2,0,3,0x371E9E971EA8BAB4,19
1,5,SHR_XOR,1,3,7,0xF2CDDDDD87F20C26,19
2,0,XOR,4,0,7,0x1908DEB36C28F7B3,19
3,11,ROTR,3,3,5,0x4A572F9D346C792E,19
4,8,AND_NOT,2,4,4,0x60F5684BC470857C,19
5,12,BSWAP,2,3,5,0x759C0550FBD6EFE1,19
6,0,XOR,3,5,5,0x5492184DD9DA564C,19
7,12,BSWAP,1,5,1,0xE6237230C65A0995,19
8,5,SHR_XOR,7,3,7,0x7172256BF66CF396,19
9,11,ROTR,2,0,5,0x02DBEA49F491B065,19
10,9,OR_SHIFT,5,2,2,0x231351A1977F755F,19
11,9,OR_SHIFT,6,2,2,0x1951FED707E1DD9E,19
12,9,OR_SHIFT,6,0,5,0x5E27B302B6477949,19
13,4,SHL_XOR,4,0,5,0xD3E394DC84E91028,19
14,11,ROTR,5,4,0,0x4CC8EC8B08291D70,19
15,0,XOR,4,3,2,0x857B092BBE3185CE,19
16,4,SHL_XOR,7,4,3,0x7F9DE0591ED31616,19
17,5,SHR_XOR,6,2,7,0x91AE68B52ED27D79,19
18,4,SHL_XOR,7,5,2,0x6792EFB76E0FBE21,19
