idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,11,ROTR,4,3,4,0x139076A6DB4C77CE,16
1,8,AND_NOT,6,1,7,0x5A3717F328F49CB6,16
2,14,ADD_ROT,3,1,7,0x76CA517C3F17C9EE,16
3,0,XOR,1,7,7,0xA516B5B7FD1F1605,16
4,0,XOR,3,3,6,0xD3682077605D5B7E,16
5,1,ADD,4,0,5,0xCEAE347D5123BA8F,16
6,4,SHL_XOR,1,5,6,0x451768DBB192A8E7,16
7,11,ROTR,6,6,5,0x08DF2DCB7448815D,16
8,7,ADD_CONST,0,1,1,0x2C00D40F157D7FC6,16
9,3,ROTL,4,3,3,0xCE04B7E516A1E910,16
10,1,ADD,4,6,7,0x323DAA1BB1A7F7D8,16
11,1,ADD,0,1,7,0x5432A2B13C52F114,16
12,0,XOR,7,1,5,0x6B7755FB5F84B090,16
13,4,SHL_XOR,3,5,4,0x3273F37803CDBB96,16
14,12,BSWAP,7,6,0,0xE67BDA40EE8AE9D2,16
15,5,SHR_XOR,7,7,6,0xC5C433B4A77F6C42,16
