idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,4,SHL_XOR,0,1,2,0x3980F4CF5FD4413D,15
1,11,ROTR,1,4,1,0x6DD436890255830D,15
2,12,BSWAP,6,5,7,0xBDD11915DABDB6B6,15
3,3,ROTL,7,0,6,0x60BE9B91EC69D087,15
4,11,ROTR,5,1,1,0xDB1C8B683726892D,15
5,9,OR_SHIFT,6,5,2,0xD427DC4EB746D46C,15
6,3,ROTL,3,7,7,0xB92F95F2ECE7EE08,15
7,4,SHL_XOR,7,6,3,0x522399F55E64B9C7,15
8,4,SHL_XOR,6,5,6,0xFC14C0A001C1B332,15
9,5,SHR_XOR,1,1,3,0x77652BF91CA67828,15
10,12,BSWAP,5,1,3,0x2EF31EBD9F614DBB,15
11,5,SHR_XOR,7,2,3,0x2B89A93F15E684E6,15
12,9,OR_SHIFT,5,6,5,0x578DA887E7A0ECB4,15
13,12,BSWAP,4,7,2,0xF3843180FE342738,15
14,12,BSWAP,7,4,3,0xB7CC23ACE9AEB0AE,15
