idx,op_id,op_name,dst,src1,src2,used_len
0,0,INIT_CUR,1,3,1,13
1,6,ACCEPT_SA,1,0,1,13
2,2,MUTATE_BEST_TO_CUR,0,3,1,13
3,12,NOP,3,2,2,13
4,12,NOP,2,1,2,13
5,4,EVAL_CUR,1,0,3,13
6,9,REG_XOR,1,2,2,13
7,6,ACCEPT_SA,3,1,3,13
8,1,MUTATE_CUR,0,2,1,13
9,5,ACCEPT_IF_BETTER,0,0,2,13
10,4,EVAL_CUR,3,1,0,13
11,12,NOP,1,1,0,13
12,4,EVAL_CUR,1,3,0,13
