gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mm_evals,chain_extras_len
0,1,28.409687,10.527092,-inf,STRICT_PROGRESS,2,200,0
0,0,28.409687,10.527092,-inf,ADVANCE + STRICT_PROGRESS,2,200,0
1,1,47.596226,10.527092,10.527092,NO_PROGRESS,2,188,1
1,2,45.459287,21.333396,10.527092,STRICT_PROGRESS,1,200,1
1,0,45.459287,21.333396,10.527092,ADVANCE + STRICT_PROGRESS,1,200,1
2,1,47.597778,10.527092,21.333396,NO_PROGRESS,1,192,2
2,2,47.530249,41.730554,21.333396,STRICT_PROGRESS,0,196,2
2,0,47.530249,41.730554,21.333396,ADVANCE + STRICT_PROGRESS,0,196,2
3,1,46.386816,-34.877173,41.730554,NO_PROGRESS,0,204,3
3,2,47.706064,21.333396,41.730554,NO_PROGRESS,1,188,3
3,3,-34.231147,29.294419,41.730554,NO_PROGRESS,0,176,3
3,4,46.783755,41.730554,41.730554,NO_PROGRESS,1,196,3
3,5,41.549824,-1306.465388,41.730554,NO_PROGRESS,1,192,3
3,6,47.670410,21.333396,41.730554,NO_PROGRESS,0,192,3
3,7,43.409897,26.258577,41.730554,NO_PROGRESS,1,192,3
3,8,47.572861,7.410891,41.730554,NO_PROGRESS,3,208,3
3,9,47.607544,10.527092,41.730554,NO_PROGRESS,0,188,3
3,10,47.620972,10.527092,41.730554,NO_PROGRESS,4,212,3
3,0,46.783755,41.730554,41.730554,SOFT_HALT(retries_exhausted_but_continuing),1,196,3
4,1,47.705713,7.410891,41.730554,NO_PROGRESS,1,188,3
4,2,47.801685,10.527092,41.730554,NO_PROGRESS,2,208,3
4,3,47.763184,-35.241155,41.730554,NO_PROGRESS,3,192,3
4,4,47.660034,-1352.027832,41.730554,NO_PROGRESS,1,200,3
4,5,47.736890,10.527092,41.730554,NO_PROGRESS,0,192,3
4,6,47.713135,47.161467,41.730554,STRICT_PROGRESS,3,196,3
4,0,47.713135,47.161467,41.730554,ADVANCE + STRICT_PROGRESS,3,196,3
