gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mmm_evals,chain_extras_mm_len
0,1,47.179385,-3.030090,-inf,STRICT_PROGRESS,0,120,3
0,2,46.710371,42.833840,-inf,STRICT_PROGRESS,1,116,3
0,3,47.216675,13.715710,-inf,STRICT_PROGRESS,2,124,3
0,4,40.402075,-10764.687500,-inf,STRICT_PROGRESS,0,128,3
0,5,47.664917,34.148608,-inf,STRICT_PROGRESS,3,132,3
0,6,47.374243,-1000000.000000,-inf,NO_PROGRESS,0,136,3
0,7,46.710371,42.833840,-inf,STRICT_PROGRESS,1,120,3
0,8,43.266724,-48.684673,-inf,STRICT_PROGRESS,0,112,3
0,9,43.266724,-48.684673,-inf,STRICT_PROGRESS,0,132,3
0,10,20.497910,-1000000.000000,-inf,NO_PROGRESS,0,120,3
0,0,46.710371,42.833840,-inf,ADVANCE + STRICT_PROGRESS,1,116,3
1,1,43.266724,-48.684673,42.833840,NO_PROGRESS,0,120,4
1,2,44.345103,-10764.687500,42.833840,NO_PROGRESS,0,120,4
1,3,43.266724,-48.684673,42.833840,NO_PROGRESS,0,128,4
1,4,46.914463,37.863640,42.833840,NO_PROGRESS,2,132,4
1,5,47.377583,-4053.440801,42.833840,NO_PROGRESS,2,128,4
1,6,43.266724,-48.684673,42.833840,NO_PROGRESS,0,116,4
1,7,45.757490,-1000000.000000,42.833840,NO_PROGRESS,1,120,4
1,8,46.710371,42.833840,42.833840,NO_PROGRESS,1,116,4
1,9,47.264229,34.148608,42.833840,NO_PROGRESS,1,124,4
1,10,12.558896,12.914702,42.833840,NO_PROGRESS,0,116,4
1,0,46.710371,42.833840,42.833840,SOFT_HALT(retries_exhausted_but_continuing),1,116,4
2,1,-26.141611,-10764.687500,42.833840,NO_PROGRESS,0,120,4
2,2,43.266724,-48.684673,42.833840,NO_PROGRESS,0,112,4
2,3,47.470796,42.980137,42.833840,NO_PROGRESS,2,120,4
2,4,43.266724,-48.684673,42.833840,NO_PROGRESS,0,108,4
2,5,46.620542,-1000000.000000,42.833840,NO_PROGRESS,0,128,4
2,6,43.266724,-48.684673,42.833840,NO_PROGRESS,0,132,4
2,7,43.266724,-48.684673,42.833840,NO_PROGRESS,0,124,4
2,8,42.643086,-5536.891821,42.833840,NO_PROGRESS,0,128,4
2,9,47.437568,-1000000.000000,42.833840,NO_PROGRESS,1,120,4
2,10,-26.141611,-10764.687500,42.833840,NO_PROGRESS,0,124,4
2,0,47.470796,42.980137,42.833840,SOFT_HALT(retries_exhausted_but_continuing),2,120,4
