=== MMMP HOLDOUT HILLCLIMB ===
iters=100 seed=0xABCDEF0123456789 start=results/phaseB_mmm_qd_bootstrap_ABCD_64/BEST_champion_mmm.csv mmm_outer=6 tier1_outer=8 tier0_inner=150 shaped=true constrained=true constrained_meta=true constrained_mm=true wide_meta=true wide_mm=true restart_every=25
iter 0: anchor=47.4611 holdout=47.2299 BEST
iter 76/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 77/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 78/100: anchor=47.4838 holdout=34.6731 current=47.2299 best=47.2299 
iter 79/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 80/100: anchor=46.2252 holdout=40.7267 current=47.2299 best=47.2299 
iter 81/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 82/100: anchor=47.2605 holdout=41.3961 current=47.2299 best=47.2299 
iter 83/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 84/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 85/100: anchor=47.5386 holdout=42.6440 current=47.2299 best=47.2299 
iter 86/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 87/100: anchor=47.4551 holdout=41.3961 current=47.2299 best=47.2299 
iter 88/100: anchor=47.1056 holdout=11.3852 current=47.2299 best=47.2299 
iter 89/100: anchor=47.2605 holdout=41.3961 current=47.2299 best=47.2299 
iter 90/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 91/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 92/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 93/100: anchor=47.5801 holdout=45.9973 current=47.2299 best=47.2299 
iter 94/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 95/100: anchor=47.2605 holdout=41.3961 current=47.2299 best=47.2299 
iter 96/100: anchor=47.2605 holdout=41.3961 current=47.2299 best=47.2299 
iter 97/100: anchor=47.1056 holdout=11.3852 current=47.2299 best=47.2299 
iter 98/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 99/100: anchor=47.5386 holdout=42.6440 current=47.2299 best=47.2299 
iter 100/100: anchor=47.4575 holdout=40.5408 current=47.2299 best=47.2299 
BEST_HOLDOUT = 47.2299 iter=0 anchor=47.4611
