idx,op_id,op_name,dst,src1,src2,used_len
0,0,INIT_CUR,0,0,0,12
1,4,EVAL_CUR,0,0,0,12
2,5,ACCEPT_IF_BETTER,0,0,0,12
3,6,ACCEPT_SA,3,0,0,12
4,11,TEMP_DECAY,0,0,2,12
5,7,RESET_CUR_TO_BEST,3,2,3,12
6,7,RESET_CUR_TO_BEST,1,0,3,12
7,8,RAND_REG,3,2,3,12
8,9,REG_XOR,0,1,2,12
9,6,ACCEPT_SA,1,0,1,12
10,4,EVAL_CUR,0,3,3,12
11,2,MUTATE_BEST_TO_CUR,1,3,2,12
