idx,op_id,op_name,dst,src1,src2
0,0,INIT_META_CUR,0,0,0
1,4,EVAL_META_CUR,0,0,0
2,5,ACCEPT_META_IF_BETTER,0,0,0
3,6,ACCEPT_META_SA,3,2,2
4,0,INIT_META_CUR,3,3,2
5,10,REG_SHR,3,1,0
