idx,kind,i,j,size
0,0,1,6,16
1,0,0,5,16
2,0,2,4,16
3,0,0,7,16
4,0,2,3,16
5,0,2,6,16
6,0,1,5,16
7,0,1,5,16
8,0,0,4,16
9,0,3,7,16
10,0,1,3,16
11,0,1,2,16
12,0,0,7,16
13,0,0,3,16
14,0,6,7,16
15,1,1,0,16
