idx,kind,i,j,size
0,0,0,2,16
1,0,4,6,16
2,0,0,3,16
3,0,1,5,16
4,0,1,7,16
5,0,5,6,16
6,0,6,7,16
7,0,2,5,16
8,0,0,5,16
9,0,2,6,16
10,0,4,7,16
11,0,3,5,16
12,0,2,7,16
13,1,1,0,16
14,0,3,4,16
15,0,0,6,16
