idx,kind,i,j,size
0,0,3,4,16
1,0,6,7,16
2,0,1,2,16
3,0,0,6,16
4,0,2,5,16
5,0,3,7,16
6,1,0,0,16
7,0,2,6,16
8,0,4,5,16
9,0,0,1,16
10,0,5,7,16
11,0,4,7,16
12,0,0,3,16
13,0,2,6,16
14,0,0,3,16
15,0,5,6,16
