idx,kind,i,j,size
0,0,5,7,23
1,0,1,7,23
2,0,4,6,23
3,0,4,5,23
4,0,0,3,23
5,0,0,2,23
6,0,2,6,23
7,0,2,7,23
8,0,0,1,23
9,0,3,5,23
10,0,0,4,23
11,0,5,6,23
12,0,1,3,23
13,0,3,5,23
14,0,5,7,23
15,0,1,4,23
16,0,2,4,23
17,0,3,4,23
18,0,1,2,23
19,0,6,7,23
20,0,4,5,23
21,0,5,6,23
22,0,2,3,23
