idx,kind,i,j,size
0,0,2,6,16
1,0,3,7,16
2,0,4,5,16
3,1,2,0,16
4,0,2,7,16
5,0,5,6,16
6,0,0,1,16
7,0,5,6,16
8,0,0,3,16
9,0,2,4,16
10,0,2,4,16
11,0,1,5,16
12,0,3,6,16
13,0,0,2,16
14,0,1,6,16
15,0,4,5,16
