gen,score,prev_score,depth,prev_depth,size,correctness,base_norm_edit,extras_max_sim,verdict
0,179.500000,-inf,9,255,23,1.000000,0.708333,0.000000,ADVANCE
1,187.000000,179.500000,5,9,16,1.000000,0.708333,0.086957,ADVANCE + STRICT_DOMINATION
2,187.000000,187.000000,5,5,16,1.000000,0.666667,0.062500,ADVANCE
3,186.000000,187.000000,6,5,16,1.000000,0.666667,0.187500,HALT(no_quality_improvement)
