idx,kind,i,j,size
0,0,3,6,16
1,0,0,4,16
2,0,5,7,16
3,0,1,2,16
4,1,0,0,16
5,0,2,4,16
6,0,0,7,16
7,0,1,3,16
8,0,3,7,16
9,0,5,6,16
10,0,2,6,16
11,0,0,5,16
12,0,3,6,16
13,0,0,7,16
14,0,1,4,16
15,0,1,4,16
