idx,kind,i,j,size
0,1,0,0,16
1,0,4,7,16
2,0,1,3,16
3,0,1,5,16
4,0,2,6,16
5,0,4,7,16
6,0,2,6,16
7,0,5,6,16
8,0,0,3,16
9,0,1,3,16
10,0,0,2,16
11,0,2,5,16
12,0,3,6,16
13,0,4,7,16
14,0,1,7,16
15,0,0,4,16
