trial,min_ref_dist,mean_ref_dist,violations,frontier,score,past_parent,field_hash
0,295,296.2917,1481,295,294998523120111000,0,0xB16EB3A0B2572A63
1,295,296.3750,1495,295,294998509513113000,0,0x727C53E47E3DDDC
