idx,op_name,imm_hex,used_len
0,ADD_R1_IMM,5F5F4AF64271BFFC,24
1,ADD_R1_R0,9AD401CC9F4885A9,24
2,ADD_R1_IMM,30D81B3309CB9854,24
3,ADD_R0_R1,5728DD31A9671E64,24
4,ADD_R1_R0,A92B6B7C7D495D22,24
5,ADD_R0_R1,A30641613C891624,24
6,ROTL_R1,483BB9B6D27C7A20,24
7,ADD_R0_IMM,13DD431F3FD6A7C9,24
8,ADD_R1_R0,E28E08F5B31F85B2,24
9,ADD_R0_R1,9274C00AA515B418,24
10,ADD_R1_IMM,4FF60DCE94F14236,24
11,ADD_R0_R1,603B138052701776,24
12,ROTL_R0,6F755744FFC8B871,24
13,ADD_R0_R1,11DE94220A2DC8E0,24
14,ADD_R1_IMM,7E5E4A1082821D56,24
15,ADD_R0_R1,5AE5F1EC4291BF5A,24
16,ADD_R1_IMM,6EDC34A04E6366E5,24
17,SHR_XOR_R0,981E59D697BB7F41,24
18,ADD_R1_R0,57229CC38A93F906,24
19,ADD_R1_IMM,C05708CCF19B321D,24
20,ADD_R1_R0,5DFED525D9B7C553,24
21,ADD_R1_R0,97533F23876A6B13,24
22,ADD_R0_R1,C43E0C74C692E584,24
23,ROTL_R1,7745783794A2DD5B,24
