idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,14,ADD_ROT,5,4,0,0x01121CD0760C78C4,12
1,14,ADD_ROT,6,0,6,0x4B571A4110DAFEFA,12
2,14,ADD_ROT,2,6,6,0x95FD85756706446A,12
3,1,ADD,3,5,6,0x199D3F90D722A08D,12
4,14,ADD_ROT,4,0,5,0xAA9025565314F8F0,12
5,14,ADD_ROT,4,4,5,0x74FCB17789E93700,12
6,14,ADD_ROT,7,4,3,0xA4AED175C7DBE862,12
7,14,ADD_ROT,6,4,0,0xA56F849C19C1F19F,12
8,1,ADD,7,6,7,0x7A4E5E0B3B6111B6,12
9,14,ADD_ROT,4,7,4,0x119399450F1853E1,12
10,14,ADD_ROT,5,0,4,0xA1FA9D6F641509AD,12
11,1,ADD,7,5,4,0x41D8AC36AE4F8266,12
