mode,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
trained,0,0,30.179775,30.655172,-0.101107,-0.671728,0.250878
trained,100,100,31.337079,31.701149,-0.092765,-0.615863,0.268993
trained,1000,1000,31.494382,31.770115,-0.069873,-0.463053,0.321663
trained,10000,10000,32.011236,32.287356,-0.070504,-0.466370,0.320475
trained,100000,100000,32.235955,32.206897,0.007228,0.047861,0.519086
trained,1000000,1000000,32.449438,31.482759,0.231738,1.539412,0.938148
