round,arm,condition,lag_errors,lag_trials,interactions,bytes,freeze,verdict,detail
round_x_x2,mutable_binder,new_delays,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,mutable_binder,async_fields,16,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,mutable_binder,organ_replace,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,mutable_binder,distractor,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,mutable_binder,permutation,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,mutable_binder,recoding,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,mutable_binder,actuator_remap,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,new_delays,171,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,async_fields,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,organ_replace,159,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,distractor,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,permutation,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,recoding,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,fixed_lag,actuator_remap,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,new_delays,2,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,async_fields,19,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,organ_replace,2,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,distractor,2,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,permutation,2,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,recoding,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,random_buffer,actuator_remap,2,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,new_delays,170,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,async_fields,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,organ_replace,164,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,distractor,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,permutation,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,recoding,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,replay,actuator_remap,166,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,new_delays,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,async_fields,21,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,organ_replace,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,distractor,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,permutation,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,recoding,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,equal_static,actuator_remap,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,new_delays,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,async_fields,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,organ_replace,168,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,distractor,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,permutation,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,recoding,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,no_probe,actuator_remap,165,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,new_delays,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,async_fields,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,organ_replace,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,distractor,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,permutation,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,recoding,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
round_x_x2,supplied_ceiling,actuator_remap,0,192,768,24,frozen_procedure,PENDING,private_lag_scoring
