mode,run,seed,iters,pool,pool_seeds,max_len,allow_step,consts,rng,novelty_weight,best_iter,avalanche,balance,period,chisq,length,base_composite,novelty,score,delta_ref,accepted,evaluated,edge_avalanche,fixed_points,zero_outputs,unique_low16,zero_out,one_out,ones_out,program_hash,beats_ref
random,0,0x94AF049176F813D0,1500,32,64,8,0,standard,discovered,0.0000,1489,26.6326,31.7930,4096,275.3750,6,-7.9132,1.2292,-7.9132,-54.1149,3,1501,27.0375,1,1,4096,0x0,0xE041D4A9758E97B7,0xD14E2D0920000000,0xBD0DEFC0230D6562,0
random,1,0xD0A1FAB9C695D06D,1500,32,64,8,0,standard,discovered,0.0000,843,24.8015,31.8867,4096,223.5000,6,-25.5513,1.2552,-25.5513,-71.7529,10,1501,24.6234,1,1,4096,0x0,0x6D221A52A06E3CE9,0xE470C5C000000000,0xE64A77EC31815997,0
random,2,0xB2514B345A054CF8,1500,32,64,8,0,standard,discovered,0.0000,411,27.4556,32.0078,4096,283.1250,6,1.2354,1.1406,1.2354,-44.9663,6,1501,26.7734,1,1,4096,0x0,0x3B82B4DA2A65EA85,0xD59A157B00000000,0xD1E2F30A5C8320B1,0
random,3,0x581CE2EDDD889714,1500,32,64,8,0,standard,discovered,0.0000,13,23.4070,31.8516,4096,236.6250,8,-40.6724,1.5339,-40.6724,-86.8740,3,1501,23.5672,0,0,4096,0x4CA11CF51D59F2CB,0xD8CC6E4FBB29D428,0x133C6B5CA5BBF2CB,0xA196AE160D56E8BB,0
anneal,0,0x34108E6947FA7DD2,1500,32,64,8,0,standard,discovered,0.0000,1492,32.0161,31.9727,4096,230.6250,4,47.7021,1.0911,47.7021,1.5005,411,1564,31.8734,1,1,3834,0x0,0xB1641936D93FB192,0x30E26E1F732E950B,0xC6E39CC139C669C1,1
anneal,1,0xF097A027BB1D838D,1500,32,64,8,0,standard,discovered,0.0000,912,32.0042,32.0195,4096,263.0000,4,47.7808,1.0443,47.7808,1.5792,339,1564,32.0672,1,1,4012,0x0,0xF26A9E46BA229F06,0xB1226A6DC8312DC5,0x2D2D554BC6CF3C6C,1
anneal,2,0xFC296BE68C08FBFB,1500,32,64,8,0,standard,discovered,0.0000,850,30.7109,32.0508,4096,216.1250,4,34.8555,1.1120,34.8555,-11.3462,520,1564,30.3563,1,1,4096,0x0,0x9ED9E6024CD4D569,0xDE469C26ECAA5C00,0x9180B9E686842629,0
anneal,3,0xEEF7A28842A4BD50,1500,32,64,8,0,standard,discovered,0.0000,1317,31.9968,31.9805,4096,242.3750,4,47.8706,0.9974,47.8706,1.6689,477,1564,31.8188,1,1,4096,0x0,0xD5821A7B5B93C6A4,0xEA4738F30233DB1F,0xFAC0F55FF371FF4C,1
crossover,0,0x2D52AA4A5D1F7D3B,1500,32,64,8,0,standard,discovered,0.0000,1282,26.7227,32.1914,4096,234.7500,4,-5.7305,1.0938,-5.7305,-51.9321,632,1564,26.5859,0,0,4096,0x4ACD10CB67CBF942,0xF79E4AB2229FBECF,0x9DFBD6E4ACF833B5,0x3737680C29FA6B1E,0
crossover,1,0x570153EDC65ECC62,1500,32,64,8,0,standard,discovered,0.0000,1442,30.5515,31.9141,4096,252.3750,4,33.0854,1.0495,33.0854,-13.1162,740,1564,30.4969,1,1,3970,0x0,0xE14CD5DF006D5240,0x1EB315DF0F92AE41,0x6A64A0B18C88A5C7,0
crossover,2,0xCBC82A3AEEDB6694,1500,32,64,8,0,standard,discovered,0.0000,1416,32.0347,31.8594,4096,265.6250,4,46.8439,1.0365,46.8439,0.6423,602,1564,31.6484,1,1,4030,0x0,0x45360B8688C50C1A,0x26478956022F7350,0x1DA9E26C33B89E05,1
crossover,3,0x9B110A58BE80D235,1500,32,64,8,0,standard,discovered,0.0000,1499,30.8020,31.7656,4096,245.2500,7,33.3481,1.1641,33.3481,-12.8535,761,1564,30.7109,1,1,4096,0x0,0xFB894F0972D5560F,0xF2906A01A0710AE1,0x6C7156C79F00A6FB,0
guided,0,0x5018DCDDA672D287,1500,32,64,8,0,standard,discovered,0.0000,1438,32.0002,31.9961,4096,224.7500,4,47.9780,0.8490,47.9780,1.7764,590,1564,31.9172,1,1,4096,0x0,0x4B44BB9473FE92F8,0x7CF6F00EBC03A582,0x8AF785C28430AD20,1
guided,1,0x5706BE23C3D6F7F3,1500,32,64,8,0,standard,discovered,0.0000,1369,32.0249,32.0430,4096,241.2500,5,47.0361,0.9115,47.0361,0.8345,706,1564,31.2781,1,1,4000,0x0,0x18E34C5DE8A061A5,0xC6D0E4B435400000,0x8F0A8CC0F693EFC4,1
guided,2,0xA002F8F2D251AD34,1500,32,64,8,0,standard,discovered,0.0000,1209,31.9707,32.0234,4096,278.8750,5,46.8511,0.7969,46.8511,0.6494,523,1564,31.8109,1,1,4015,0x0,0xB151115273A99188,0x8DD183370A9CE460,0x1F89146E42332904,1
guided,3,0x23EAD575D1DBA23F,1500,32,64,8,0,standard,discovered,0.0000,1346,31.9993,32.0117,4096,228.0000,6,46.9341,1.1068,46.9341,0.7324,635,1564,31.8734,1,1,3970,0x0,0xA9A89CCEE9FA9154,0xA664E19740004D7A,0xE385619DBDA206F1,1
