artifact,battery,policy,charged_raw_contacts,hidden_shifted_material,exact_routes,accepted_opaque_frames,verdict
round_ap_ap6,AM4,earned_chain,1920,3600,120,120,
round_ap_ap6,AM4,aj4_fixed_allocator,1920,1080,36,120,
round_ap_ap6,AM4,random,1920,1080,36,120,
round_ap_ap6,AM4,replay,1920,1080,36,120,
round_ap_ap6,AM4,shuffled_history,1920,1110,37,120,
round_ap_ap6,AM4,blank_no_relevance,1920,1080,36,120,
round_ap_ap6,AM4,answer_memory_scrubbed,1920,1080,36,120,
round_ap_ap6,AM4,topology_ablation,1920,1080,36,120,
round_ap_ap6,AM4,value_ablation,1920,1080,36,120,
round_ap_ap6,AM4,arbitration_ablation,1920,1080,36,120,
round_ap_ap6,AM4,broad_coverage,1920,1380,46,120,
round_ap_ap6,AM5,earned_portfolio,4320,5760,288,288,
round_ap_ap6,AM5,am4_single_record,4320,1620,81,288,
round_ap_ap6,AM5,fixed_broad_coverage,4320,1560,78,288,
round_ap_ap6,AM5,fixed_portfolio_schedule,4320,1560,78,288,
round_ap_ap6,AM5,random,4320,1560,78,288,
round_ap_ap6,AM5,replay,4320,1320,66,288,
round_ap_ap6,AM5,shuffled_history,4320,1680,84,288,
round_ap_ap6,AM5,blank_no_relevance,4320,1560,78,288,
round_ap_ap6,AM5,answer_memory_scrubbed,4320,1560,78,288,
round_ap_ap6,AM5,topology_relevance_ablation,4320,1560,78,288,
round_ap_ap6,AM5,value_ablation,4320,1560,78,288,
round_ap_ap6,AM5,arbitration_ablation,4320,1560,78,288,
round_ap_ap6,AM5,mechanism_misrouting,4320,0,0,288,
round_ap_ap6,audit,ownership,0,0,0,0,DECLARED:parent_owns_synthetic_world_reward_recoding_nonce_and_end_only_score; candidate_is_separately_compiled
round_ap_ap6,audit,protocol,0,0,0,0,DECLARED:bounded_opaque_frames_and_deterministic_parent_transcript_used_for_local_replay
round_ap_ap6,audit,scope,0,0,0,0,LIMIT:bounded_synthetic_reproducibility_evidence_only_not_open_ended_autonomy_or_security_claim
round_ap_ap6,verdict,both,0,0,0,0,FOUNDATION_POSITIVE:AM4_and_AM5_strict_control_wins_at_original_budgets_in_separate_candidate_local_replay
