protocol,stage,policy_token,candidate_kind,a,b,c,public_fit,correct,baseline_correct,charged_calls,verdict,detail
round_l_l4,extension_query,L3-01,threshold,8,3,1,5,10,10,1,measured,canonical=43
round_l_l4,extension_query,L3-01,threshold,8,3,2,8,4,10,1,measured,canonical=44
round_l_l4,extension_query,L3-01,threshold,9,2,0,6,12,10,1,measured,canonical=45
round_l_l4,extension_query,L3-01,threshold,9,2,1,6,0,10,1,measured,canonical=46
round_l_l4,extension_query,L3-01,threshold,9,3,0,5,3,10,1,measured,canonical=47
round_l_l4,extension_query,L3-01,threshold,9,3,1,6,10,10,1,measured,canonical=48
round_l_l4,extension_query,L3-01,threshold,9,3,2,7,5,10,1,measured,canonical=49
round_l_l4,extension_query,L3-01,threshold,10,2,0,6,9,10,1,measured,canonical=50
round_l_l4,extension_query,L3-01,threshold,10,2,1,6,3,10,1,measured,canonical=51
round_l_l4,extension_query,L3-01,threshold,10,3,0,5,3,10,1,measured,canonical=52
round_l_l4,extension_query,L3-01,threshold,10,3,1,6,9,10,1,measured,canonical=53
round_l_l4,extension_query,L3-01,threshold,10,3,2,7,6,10,1,measured,canonical=54
round_l_l4,extension_query,L3-01,threshold,11,2,0,6,9,10,1,measured,canonical=55
round_l_l4,extension_query,L3-01,threshold,11,2,1,6,3,10,1,measured,canonical=56
round_l_l4,extension_query,L3-01,threshold,11,3,0,5,3,10,1,measured,canonical=57
round_l_l4,extension_query,L3-01,threshold,11,3,1,6,10,10,1,measured,canonical=58
round_l_l4,extension_query,L3-01,threshold,11,3,2,7,5,10,1,measured,canonical=59
round_l_l4,extension_query,L3-01,threshold,12,2,0,4,5,10,1,measured,canonical=60
round_l_l4,extension_query,L3-01,threshold,12,2,1,8,7,10,1,measured,canonical=61
round_l_l4,extension_query,L3-01,threshold,12,3,0,4,8,10,1,measured,canonical=62
round_l_l4,extension_query,L3-01,threshold,12,3,1,7,9,10,1,measured,canonical=63
round_l_l4,extension_query,L3-01,threshold,12,3,2,7,1,10,1,measured,canonical=64
round_l_l4,extension_query,L3-01,threshold,13,2,0,5,4,10,1,measured,canonical=65
round_l_l4,extension_query,L3-01,threshold,13,2,1,7,8,10,1,measured,canonical=66
round_l_l4,extension_query,L3-01,threshold,13,3,0,5,7,10,1,measured,canonical=67
round_l_l4,extension_query,L3-01,threshold,13,3,1,7,10,10,1,measured,canonical=68
round_l_l4,extension_query,L3-01,threshold,13,3,2,6,1,10,1,measured,canonical=69
round_l_l4,extension_query,L3-01,threshold,14,2,0,4,6,10,1,measured,canonical=70
round_l_l4,extension_query,L3-01,threshold,14,2,1,8,6,10,1,measured,canonical=71
round_l_l4,extension_query,L3-01,threshold,14,3,0,5,10,10,1,measured,canonical=72
round_l_l4,extension_query,L3-01,threshold,14,3,1,8,4,10,1,measured,canonical=73
round_l_l4,extension_query,L3-01,threshold,14,3,2,5,4,10,1,measured,canonical=74
round_l_l4,extension_query,L3-01,threshold,15,2,0,3,8,10,1,measured,canonical=75
round_l_l4,extension_query,L3-01,threshold,15,2,1,9,4,10,1,measured,canonical=76
round_l_l4,extension_query,L3-01,threshold,15,3,0,5,10,10,1,measured,canonical=77
round_l_l4,extension_query,L3-01,threshold,15,3,1,9,4,10,1,measured,canonical=78
round_l_l4,extension_query,L3-01,threshold,15,3,2,4,4,10,1,measured,canonical=79
round_l_l4,target_summary,L3-01,threshold,0,0,0,9,12,10,412,strict_win,full_bank_80_plus_redundant_padding
round_l_l4,blank_decision,L3-02,current_menu_max,0,0,0,0,12,12,412,represented,trace_only_maximum
round_l_l4,VERDICT,all_blank_targets,threshold,0,0,0,0,0,0,0,VALID_NEGATIVE,requires_two_same_region_exact_strict_equal_cost_wins;observed_failed_targets=1
