phase,seed,arm,battery,idx,target,solved,cov,label,checked_delta,novel_delta,remix_blocked_delta,nlib,basis_at_target,revision_fired_at,classification
classify,0xF0235A11CE0FF1CE,off,D,0,"D01 sum%2",0,0.4794,base,0,0,1,0,3,n/a,DECISIVE
classify,0xF0235A11CE0FF1CE,on,D,0,"D01 sum%2",1,1.0000,world,0,0,0,0,4,n/a,DECISIVE
classify,0xF0235A11CE0FF1CE,off,D,1,"D02 sum%3",1,1.0000,world,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,1,"D02 sum%3",1,1.0000,world,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,2,"D03 sum%5",1,1.0000,world,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,2,"D03 sum%5",1,1.0000,world,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,3,"D04 sum%7",1,1.0000,world,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,3,"D04 sum%7",1,1.0000,world,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,4,"D05 sum%11",1,0.9040,base,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,4,"D05 sum%11",1,0.9040,base,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,5,"D06 sum%13",1,0.9269,base,0,0,0,0,3,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,on,D,5,"D06 sum%13",1,0.9269,base,0,0,0,0,4,n/a,TOO_EASY
classify,0xF0235A11CE0FF1CE,off,D,6,"D07 count3%3",0,0.6554,base,0,0,1,0,3,n/a,DECISIVE
classify,0xF0235A11CE0FF1CE,on,D,6,"D07 count3%3",1,1.0000,menu,0,0,0,0,4,n/a,DECISIVE
classify,0xF0235A11CE0FF1CE,off,D,7,"D08 count3%4",0,0.7131,base,0,0,0,0,3,n/a,TOO_HARD
classify,0xF0235A11CE0FF1CE,on,D,7,"D08 count3%4",0,0.7154,base,0,0,0,0,4,n/a,TOO_HARD
