artifact,stage,anonymous_event,material_lineage,public_observation,charged_call,arm,detail
round_q_q4,scout,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),residual_cardinality,1,forged_material,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),approved_provenance,1,forged_material,q3_verified_content
round_q_q4,forge,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),pre_score_commitment,1,forged_material,material_frozen_before_closure
round_q_q4,test,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),sealed_aggregate_channel,1,forged_material,no_individual_result_release
round_q_q4,scout,anonymous_event,cf4ccde68a0fdf19,residual_cardinality,1,count_component,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,cf4ccde68a0fdf19,approved_provenance,1,count_component,q3_verified_content
round_q_q4,forge,anonymous_event,cf4ccde68a0fdf19,pre_score_commitment,1,count_component,material_frozen_before_closure
round_q_q4,test,anonymous_event,cf4ccde68a0fdf19,sealed_aggregate_channel,1,count_component,no_individual_result_release
round_q_q4,scout,anonymous_event,3a8490803f0413dd,residual_cardinality,1,relation_component,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,3a8490803f0413dd,approved_provenance,1,relation_component,q3_verified_content
round_q_q4,forge,anonymous_event,3a8490803f0413dd,pre_score_commitment,1,relation_component,material_frozen_before_closure
round_q_q4,test,anonymous_event,3a8490803f0413dd,sealed_aggregate_channel,1,relation_component,no_individual_result_release
round_q_q4,scout,anonymous_event,3a8490803f0413dd,residual_cardinality,1,fixed_composition,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,3a8490803f0413dd,approved_provenance,1,fixed_composition,q3_verified_content
round_q_q4,forge,anonymous_event,3a8490803f0413dd,pre_score_commitment,1,fixed_composition,material_frozen_before_closure
round_q_q4,test,anonymous_event,3a8490803f0413dd,sealed_aggregate_channel,1,fixed_composition,no_individual_result_release
round_q_q4,scout,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),residual_cardinality,1,blind_composition,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),approved_provenance,1,blind_composition,q3_verified_content
round_q_q4,forge,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),pre_score_commitment,1,blind_composition,material_frozen_before_closure
round_q_q4,test,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),sealed_aggregate_channel,1,blind_composition,no_individual_result_release
round_q_q4,scout,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),residual_cardinality,1,forged_material,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),approved_provenance,1,forged_material,q3_verified_content
round_q_q4,forge,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),pre_score_commitment,1,forged_material,material_frozen_before_closure
round_q_q4,test,anonymous_event,forge(cf4ccde68a0fdf19+3a8490803f0413dd),sealed_aggregate_channel,1,forged_material,no_individual_result_release
round_q_q4,scout,anonymous_event,cf4ccde68a0fdf19,residual_cardinality,1,count_component,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,cf4ccde68a0fdf19,approved_provenance,1,count_component,q3_verified_content
round_q_q4,forge,anonymous_event,cf4ccde68a0fdf19,pre_score_commitment,1,count_component,material_frozen_before_closure
round_q_q4,test,anonymous_event,cf4ccde68a0fdf19,sealed_aggregate_channel,1,count_component,no_individual_result_release
round_q_q4,scout,anonymous_event,3a8490803f0413dd,residual_cardinality,1,relation_component,q2_answer_free_retrieval
round_q_q4,quarantine,anonymous_event,3a8490803f0413dd,approved_provenance,1,relation_component,q3_verified_content
round_q_q4,forge,anonymous_event,3a8490803f0413dd,pre_score_commitment,1,relation_component,material_frozen_before_closure
round_q_q4,test,anonymous_event,3a8490803f0413dd,sealed_aggregate_channel,1,relation_component,no_individual_result_release
