N,method,evals,best_E,best_F
44,tabu_pair_long_tenure,1,1006,0.962227
44,tabu_pair_long_tenure,89,634,1.526814
44,tabu_pair_long_tenure,177,482,2.008299
44,tabu_pair_long_tenure,265,390,2.482051
44,tabu_pair_long_tenure,353,354,2.734463
44,tabu_pair_long_tenure,441,350,2.765714
44,tabu_pair_long_tenure,529,338,2.863905
44,tabu_pair_long_tenure,969,286,3.384615
44,tabu_pair_long_tenure,1233,282,3.432624
44,tabu_pair_long_tenure,1321,270,3.585185
44,tabu_pair_long_tenure,1497,254,3.811024
44,tabu_pair_long_tenure,1585,250,3.872000
44,tabu_pair_long_tenure,1761,246,3.934959
44,tabu_pair_long_tenure,2817,202,4.792079
44,tabu_pair_long_tenure,11265,190,5.094737
44,tabu_pair_long_tenure,15401,178,5.438202
44,tabu_pair_long_tenure,15489,166,5.831325
44,tabu_pair_long_tenure,315130,162,5.975309
44,tabu_pair_long_tenure,1978073,134,7.223881
44,tabu_pair_long_tenure,6261667,130,7.446154
44,concentrated_1,50000055,130,7.446154
44,tabu_pair_long_tenure,1,1170,0.827350
44,tabu_pair_long_tenure,89,698,1.386819
44,tabu_pair_long_tenure,177,458,2.113537
44,tabu_pair_long_tenure,265,382,2.534031
44,tabu_pair_long_tenure,353,282,3.432624
44,tabu_pair_long_tenure,529,266,3.639098
44,tabu_pair_long_tenure,705,242,4.000000
44,tabu_pair_long_tenure,793,230,4.208696
44,tabu_pair_long_tenure,1057,226,4.283186
44,tabu_pair_long_tenure,1145,214,4.523364
44,tabu_pair_long_tenure,12057,210,4.609524
44,tabu_pair_long_tenure,14521,206,4.699029
44,tabu_pair_long_tenure,30713,194,4.989691
44,tabu_pair_long_tenure,42593,178,5.438202
44,tabu_pair_long_tenure,297618,162,5.975309
44,tabu_pair_long_tenure,2106377,138,7.014493
44,memetic_twopoint,5555608,138,7.014493
44,memetic_twopoint_burst,5555697,138,7.014493
44,memetic_twopoint_burst,5558338,138,7.014493
44,memetic_twopoint_burst,5560979,254,3.811024
44,memetic_twopoint_burst,5561331,238,4.067227
44,memetic_twopoint_burst,5561947,226,4.283186
44,memetic_twopoint_burst,5562563,198,4.888889
44,memetic_twopoint_burst,5562651,146,6.630137
44,memetic_twopoint_burst,5563620,190,5.094737
44,memetic_twopoint_burst,5563708,138,7.014493
44,memetic_twopoint_burst,5566261,138,7.014493
44,memetic_twopoint_burst,5568902,446,2.170404
44,memetic_twopoint_burst,5568990,350,2.765714
44,memetic_twopoint_burst,5569078,298,3.248322
44,memetic_twopoint_burst,5569166,286,3.384615
44,memetic_twopoint_burst,5569254,242,4.000000
44,memetic_twopoint_burst,5571102,214,4.523364
44,memetic_twopoint_burst,5571543,482,2.008299
44,memetic_twopoint_burst,5571631,358,2.703911
44,memetic_twopoint_burst,5571719,314,3.082803
44,memetic_twopoint_burst,5571895,262,3.694656
44,memetic_twopoint_burst,5571983,242,4.000000
44,memetic_twopoint_burst,5572687,218,4.440367
44,memetic_twopoint_burst,5572775,182,5.318681
44,memetic_twopoint_burst,5574184,658,1.471125
44,memetic_twopoint_burst,5574272,486,1.991770
44,memetic_twopoint_burst,5574360,410,2.360976
44,memetic_twopoint_burst,5574448,334,2.898204
44,memetic_twopoint_burst,5574536,314,3.082803
44,memetic_twopoint_burst,5574624,246,3.934959
44,memetic_twopoint_burst,5574712,242,4.000000
44,memetic_twopoint_burst,5575064,234,4.136752
44,memetic_twopoint_burst,5575152,222,4.360360
44,memetic_twopoint_burst,5575592,218,4.440367
44,memetic_twopoint_burst,5576825,582,1.663230
44,memetic_twopoint_burst,5576913,434,2.230415
44,memetic_twopoint_burst,5577001,342,2.830409
44,memetic_twopoint_burst,5577089,266,3.639098
44,memetic_twopoint_burst,5577177,246,3.934959
44,memetic_twopoint_burst,5577265,202,4.792079
44,memetic_twopoint_burst,5579466,654,1.480122
44,memetic_twopoint_burst,5579554,486,1.991770
44,memetic_twopoint_burst,5579642,394,2.456853
44,memetic_twopoint_burst,5579730,302,3.205298
44,memetic_twopoint_burst,5579818,274,3.532847
44,memetic_twopoint_burst,5580786,270,3.585185
44,memetic_twopoint_burst,5580874,266,3.639098
44,memetic_twopoint_burst,5581314,242,4.000000
44,memetic_twopoint_burst,5584748,394,2.456853
44,memetic_twopoint_burst,5584836,350,2.765714
44,memetic_twopoint_burst,5584924,314,3.082803
44,memetic_twopoint_burst,5585100,274,3.532847
44,memetic_twopoint_burst,5585188,238,4.067227
44,memetic_twopoint_burst,5587389,138,7.014493
44,memetic_twopoint_burst,5595312,566,1.710247
44,memetic_twopoint_burst,5595400,402,2.407960
44,memetic_twopoint_burst,5595488,318,3.044025
44,memetic_twopoint_burst,5595576,254,3.811024
44,memetic_twopoint_burst,5595664,250,3.872000
44,memetic_twopoint_burst,5597336,206,4.699029
44,memetic_twopoint_burst,5619081,138,7.014493
44,memetic_twopoint_burst,5632286,138,7.014493
44,memetic_twopoint_burst,5640209,138,7.014493
44,memetic_twopoint_burst,5669260,138,7.014493
44,memetic_twopoint_burst,5674542,138,7.014493
44,memetic_twopoint_burst,5677183,138,7.014493
44,memetic_twopoint_burst,5682465,138,7.014493
44,memetic_twopoint_burst,5698311,138,7.014493
44,memetic_twopoint_burst,5711516,138,7.014493
44,memetic_twopoint_burst,5722080,138,7.014493
44,memetic_twopoint_burst,5724721,138,7.014493
44,memetic_twopoint_burst,5735285,138,7.014493
44,memetic_twopoint_burst,5737926,138,7.014493
44,memetic_twopoint_burst,5743208,138,7.014493
