artifact,partition,epoch,world_token,parent_token,lifecycle,viability,diversity,distinguishing_power,growth_span,encoding_check,decision,verdict
round_u_u3,policy_lineage,0,EEC1D9A1AA3ACF6D,884EA11DFE1FF816,commit,0.656250,1.000000,1.000000,8,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,1,50050C9CE0841CA5,EEC1D9A1AA3ACF6D,commit,0.328125,1.000000,1.000000,9,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,2,96FC6A4534776668,50050C9CE0841CA5,commit,0.750000,1.000000,1.000000,13,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,3,E13D4562B8C49787,96FC6A4534776668,commit,0.500000,1.000000,1.000000,13,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,4,B7CB64E3467A8647,E13D4562B8C49787,commit,0.203125,1.000000,1.000000,15,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,5,55D07ECF0502AD5A,B7CB64E3467A8647,commit,0.406250,0.800000,1.000000,16,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,6,49F120C8DC7535B6,55D07ECF0502AD5A,scratch_discard,0.828125,1.000000,1.000000,18,raw_permutation_and_affine_recode,reject_measurement,measured
round_u_u3,policy_lineage,7,BD95AA55E42CDBC9,884EA11DFE1FF816,commit,0.671875,1.000000,1.000000,8,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,8,C180F0D0F6957BC6,884EA11DFE1FF816,commit,0.500000,1.000000,1.000000,7,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,9,485FE38BC398084F,884EA11DFE1FF816,commit,0.328125,1.000000,1.000000,9,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,10,7C02C97D6BFF4DA5,884EA11DFE1FF816,scratch_discard,1.000000,1.000000,1.000000,8,raw_permutation_and_affine_recode,reject_measurement,measured
round_u_u3,policy_lineage,11,3CCC9F32079FD03D,EEC1D9A1AA3ACF6D,scratch_discard,1.000000,1.000000,1.000000,10,raw_permutation_and_affine_recode,reject_measurement,measured
round_u_u3,policy_lineage,12,A2639F85E9F0FD97,50050C9CE0841CA5,commit,0.500000,1.000000,1.000000,13,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,13,5C3A599C65BABAC7,50050C9CE0841CA5,commit,0.250000,1.000000,1.000000,12,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,14,CFE09CF69F4EBCB9,50050C9CE0841CA5,commit,0.328125,1.000000,1.000000,11,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,15,5108BEE944ADF1B9,96FC6A4534776668,commit,0.390625,1.000000,1.000000,15,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,16,018F2F310AC177E1,E13D4562B8C49787,commit,0.250000,1.000000,1.000000,15,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,17,891534CC37F26AD3,B7CB64E3467A8647,commit,0.390625,1.000000,1.000000,16,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,18,BBAFE9088345725B,55D07ECF0502AD5A,commit,0.609375,1.000000,1.000000,19,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,19,0B19AF1B7FA9BDF0,BD95AA55E42CDBC9,commit,0.750000,1.000000,1.000000,10,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,20,BBE82F0698EE603A,C180F0D0F6957BC6,scratch_discard,1.000000,0.666667,1.000000,10,raw_permutation_and_affine_recode,reject_measurement,measured
round_u_u3,policy_lineage,21,259A55FC0EC8B508,485FE38BC398084F,commit,0.671875,1.000000,1.000000,11,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,22,A8F098AC3542EEFA,A2639F85E9F0FD97,commit,0.500000,1.000000,1.000000,13,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,23,5C8A38149E5C69C1,5C3A599C65BABAC7,commit,0.250000,0.750000,1.000000,14,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,24,B061831C60FCD332,884EA11DFE1FF816,commit,0.500000,1.000000,1.000000,6,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,25,EF84CEE10B0C5DC4,EEC1D9A1AA3ACF6D,commit,0.328125,1.000000,1.000000,10,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,26,7C6FEE94165A9072,CFE09CF69F4EBCB9,commit,0.500000,0.750000,1.000000,15,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,27,B18B8A24E09298E2,5108BEE944ADF1B9,commit,0.609375,1.000000,1.000000,16,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,28,1BAD2A59D95C69C6,018F2F310AC177E1,commit,0.593750,1.000000,1.000000,17,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,29,095AC62390FD2AA4,891534CC37F26AD3,commit,0.500000,1.000000,1.000000,17,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,30,9B853FFC1A0E2345,BBAFE9088345725B,commit,0.796875,0.800000,1.000000,19,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,31,4380DC3A2ED905EF,0B19AF1B7FA9BDF0,commit,0.406250,1.000000,1.000000,13,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,32,29DB9765390B07B8,C180F0D0F6957BC6,commit,0.656250,1.000000,1.000000,8,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,33,8444ABB8DD372A5E,259A55FC0EC8B508,scratch_discard,0.000000,1.000000,1.000000,12,raw_permutation_and_affine_recode,reject_measurement,measured
round_u_u3,policy_lineage,34,1E0F5B3E5262F900,A8F098AC3542EEFA,commit,0.593750,0.800000,1.000000,15,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,35,AD97F8D94CF7BFAD,5C8A38149E5C69C1,commit,0.406250,1.000000,1.000000,17,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,36,3F735EFE8105B9A3,B061831C60FCD332,commit,0.500000,1.000000,1.000000,8,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,37,182FA92791D12528,EF84CEE10B0C5DC4,commit,0.250000,1.000000,1.000000,13,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,38,9F5BD32DC7915B79,7C6FEE94165A9072,commit,0.390625,1.000000,1.000000,17,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,39,99F310D2167130C7,B18B8A24E09298E2,commit,0.796875,0.800000,1.000000,18,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,40,EFFED64239706A59,1BAD2A59D95C69C6,scratch_discard,0.828125,1.000000,1.000000,18,raw_permutation_and_affine_recode,reject_measurement,measured
round_u_u3,policy_lineage,41,232B5ECED2A2E259,095AC62390FD2AA4,commit,0.562500,1.000000,1.000000,19,raw_permutation_and_affine_recode,retain,measured
round_u_u3,policy_lineage,42,B528499609687F2E,9B853FFC1A0E2345,commit,0.593750,1.000000,1.000000,19,raw_permutation_and_affine_recode,retain,measured
