record,split,target_audit_only,truth_audit_only,descriptor_contract,predicted_audit_only,correct,global_gain,global_residual,singleton_gain,singleton_residual,partition_gain,partition_residual,none_gain,none_residual,coverage_mean,cost_equal,validity
ABLATION,validation,-,-,gain4,-,2/4,-,-,-,-,-,-,-,-,-,-,pass
ABLATION,validation,-,-,gain_residual8,-,4/4,-,-,-,-,-,-,-,-,-,-,pass
ABLATION,validation,-,-,full_response16,-,3/4,-,-,-,-,-,-,-,-,-,-,pass
TARGET,val,3,global,gain_residual8,global,1,0.4900,0.5100,0.0825,0.1025,0.0825,0.1025,-0.0025,0.0175,0.0333,1.0000,pass
TARGET,heldout,4,global,gain_residual8,global,1,0.4875,0.5125,0.0750,0.1000,0.0400,0.0650,0.0300,0.0550,0.0250,1.0000,pass
TARGET,val,8,singleton,gain_residual8,singleton,1,0.0225,0.2175,0.4025,0.5975,-0.0400,0.1550,-0.0400,0.1550,0.0083,1.0000,pass
TARGET,heldout,9,singleton,gain_residual8,singleton,1,0.0450,0.1150,0.4650,0.5350,0.0000,0.0700,-0.0200,0.0500,0.0250,1.0000,pass
TARGET,val,13,partition,gain_residual8,partition,1,-0.0700,0.2600,-0.0400,0.2900,-0.0475,0.2825,-0.0825,0.2475,0.0000,1.0000,pass
TARGET,heldout,14,partition,gain_residual8,none,0,0.0200,0.0650,0.1150,0.1600,0.1150,0.1600,0.0250,0.0700,0.0000,1.0000,pass
TARGET,val,18,none,gain_residual8,none,1,0.0550,0.0800,0.0350,0.0600,0.0500,0.0750,0.0500,0.0750,0.0000,1.0000,pass
TARGET,heldout,19,none,gain_residual8,partition,0,-0.0500,0.2400,-0.0425,0.2475,-0.0650,0.2250,-0.0325,0.2575,0.0000,1.0000,pass
SUMMARY,heldout,-,-,gain_residual8,-,2/4,-,-,-,-,-,-,-,-,-,-,pass
GATES,frozen_12_4_4_distance_ge_0.03,-,-,gain_residual8,-,-,-,-,-,-,-,-,-,-,-,0.038243,pass
