arm,seed,cap_idx,feature,raw_verdict,survivor_live,post_revision,test_acc_l1,ladder_novel
revision,0xF0235A11CE0FF1CE,0,monomial(0x0C),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,1,pair(2;3),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,2,walsh(S=0x0C),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,3,walsh(S=0x0C),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,4,monomial(0x83),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,5,walsh(S=0x83),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,6,walsh(S=0x83),remix,0,0,1.0000,0
revision,0xF0235A11CE0FF1CE,7,sum%7,novel,1,1,0.8554,1
revision,0xF0235A11CE0FF1CE,8,pair(0;4),remix,1,1,1.0000,0
revision,0xF0235A11CE0FF1CE,9,walsh(S=0xA4),remix,1,1,1.0000,0
revision,0xF0235A11CE0FF1CE,10,pair(1;3),remix,1,1,1.0000,0
revision,0xF0235A11CE0FF1CE,11,walsh(S=0xFF),novel,1,1,0.7316,1
revision,0xF0235A11CE0FF1CE,12,sum%5,remix,1,1,0.9054,0
revision,0xF0235A11CE0FF1CE,13,walsh(S=0xFF),novel,1,1,0.7316,1
revision,0xF0235A11CE0FF1CE,14,sum%2,remix,1,1,0.6164,1
revision,0xF0235A11CE0FF1CE,15,spectral(w=2.0735),novel,1,1,0.8091,1
revision,0xF0235A11CE0FF1CE,16,monomial(0x0F),remix,1,1,1.0000,0
revision,0x00C1B10D20260706,0,monomial(0x0C),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,1,pair(2;3),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,2,walsh(S=0x0C),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,3,walsh(S=0x0C),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,4,monomial(0x83),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,5,walsh(S=0x83),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,6,walsh(S=0x83),remix,0,0,1.0000,0
revision,0x00C1B10D20260706,7,sum%7,novel,1,1,0.8623,1
revision,0x00C1B10D20260706,8,pair(0;4),remix,1,1,1.0000,0
revision,0x00C1B10D20260706,9,walsh(S=0xA4),remix,1,1,1.0000,0
revision,0x00C1B10D20260706,10,pair(1;3),remix,1,1,1.0000,0
revision,0x00C1B10D20260706,11,walsh(S=0xFF),novel,1,1,0.7374,1
revision,0x00C1B10D20260706,12,sum%5,remix,1,1,0.9006,0
revision,0x00C1B10D20260706,13,walsh(S=0xFF),novel,1,1,0.7374,1
revision,0x00C1B10D20260706,14,sum%2,remix,1,1,0.5507,1
revision,0x00C1B10D20260706,15,spectral(w=2.0892),novel,1,1,0.8243,1
revision,0x00C1B10D20260706,16,monomial(0x0F),remix,1,1,1.0000,0
revision,0x00C2B10D20260707,0,monomial(0x0C),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,1,pair(2;3),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,2,walsh(S=0x0C),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,3,walsh(S=0x0C),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,4,monomial(0x83),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,5,walsh(S=0x83),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,6,walsh(S=0x83),remix,0,0,1.0000,0
revision,0x00C2B10D20260707,7,sum%7,novel,1,1,0.8584,1
revision,0x00C2B10D20260707,8,pair(0;4),remix,1,1,1.0000,0
revision,0x00C2B10D20260707,9,walsh(S=0xA4),remix,1,1,1.0000,0
revision,0x00C2B10D20260707,10,pair(1;3),remix,1,1,1.0000,0
revision,0x00C2B10D20260707,11,walsh(S=0xFF),novel,1,1,0.7360,1
revision,0x00C2B10D20260707,12,walsh(S=0xFF),novel,1,1,0.7360,1
revision,0x00C2B10D20260707,13,sum%2,remix,1,1,0.5431,1
revision,0x00C2B10D20260707,14,spectral(w=2.0735),novel,1,1,0.8153,1
revision,0x00C2B10D20260707,15,monomial(0x0F),remix,1,1,1.0000,0
