mode,readout,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
trained,fingerprint,0,0,31.134831,31.931034,-0.209302,-1.388653,0.082469
trained,fingerprint,100,100,31.853933,31.724138,0.032813,0.216885,0.585851
trained,fingerprint,1000,1000,31.853933,32.528736,-0.180691,-1.199528,0.115161
trained,fingerprint,10000,10000,31.696629,31.804598,-0.028527,-0.189232,0.424956
trained,fingerprint,100000,100000,31.966292,31.954023,0.002992,0.019879,0.507930
trained,fingerprint,1000000,1000000,32.325843,31.908046,0.105307,0.698568,0.757589
