row_type,label,seed_idx,arm,n_proposers,proposer_idx,budget_cap,per_proposer_cap,target_group,target_idx,target_name,solved,solved_by_count,first_solver_idx,evals_used,lens_subset,esc_order,grow_op,b_first,targets_solved_by_proposer
run,full,0,depth,1,,3000,3000,,,,,,,2587,full(6),mod_first,flip1,true,
target,full,0,depth,1,,3000,3000,B,0,"B1 random monomial deg2",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,1,"B2 random monomial deg3",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,2,"B3 sum(g) % 7",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,3,"B4 sign%mod 11",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,4,"B5 Walsh χ{S=0x11}",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,5,"B6 Walsh χ{S=0xA4}",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,6,"B7 Walsh χ{S=0x0A}",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,7,"B8 parity-of-count",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,8,"B9 oriented v1>v0",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,9,"B10 parity AND sum%5",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,B,10,"B11 inversion parity",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,C,0,"C02 parity XOR 0x33",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,C,1,"C04 XOR 0xAA",0,,,,,,,,,
target,full,0,depth,1,,3000,3000,C,2,"C05 XOR 0x3C",0,,,,,,,,,
target,full,0,depth,1,,3000,3000,C,3,"C06 XOR 0x66",1,,,,,,,,,
target,full,0,depth,1,,3000,3000,C,4,"C09 inv parity",0,,,,,,,,,
proposer,full,0,breadth_4,4,0,2587,646,,,,ran,,,646,th3,mod_first,flip1,false,0
proposer,full,0,breadth_4,4,1,2587,646,,,,ran,,,646,mod2,pair_first,flip1,true,10
proposer,full,0,breadth_4,4,2,2587,646,,,,ran,,,648,th1+th2,mod_first,flip2,true,11
proposer,full,0,breadth_4,4,3,2587,646,,,,ran,,,652,th4+th5,pair_first,flip2,true,10
run,full,0,breadth_4,4,,2587,646,proposers_run=4,,,distinct_lens=3,,,2592,,,,,1.0000
target,full,0,breadth_4,4,,2587,646,B,0,"B1 random monomial deg2",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,1,"B2 random monomial deg3",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,2,"B3 sum(g) % 7",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,3,"B4 sign%mod 11",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,4,"B5 Walsh χ{S=0x11}",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,5,"B6 Walsh χ{S=0xA4}",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,6,"B7 Walsh χ{S=0x0A}",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,7,"B8 parity-of-count",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,8,"B9 oriented v1>v0",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,9,"B10 parity AND sum%5",1,3,1,,,,,,
target,full,0,breadth_4,4,,2587,646,B,10,"B11 inversion parity",1,1,2,,,,,,
