mode,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
trained,0,0,30.820225,30.275862,0.122066,0.808993,0.790740
trained,100,100,32.146067,32.379310,-0.055156,-0.366112,0.357141
trained,1000,1000,32.494382,31.850575,0.184040,1.221193,0.888993
trained,10000,10000,32.089888,32.091954,-0.000527,-0.003491,0.498607
trained,100000,100000,32.561798,31.643678,0.236071,1.565500,0.941267
trained,1000000,1000000,32.887640,31.850575,0.245147,1.627569,0.948192
