mode,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
trained,0,0,30.426966,31.000000,-0.083751,-0.560001,0.287739
trained,100,100,32.202247,31.701149,0.126263,0.837466,0.798835
trained,1000,1000,31.606742,31.022989,0.147505,0.979580,0.836353
trained,10000,10000,31.617978,31.793103,-0.044966,-0.298003,0.382851
trained,100000,100000,32.584270,32.195402,0.095133,0.631862,0.736262
trained,1000000,1000000,31.460674,32.275862,-0.211068,-1.402418,0.080395
