n,label,bits,nu,lb_task,lb_sch,len_binary,len_factor,len_window,win_k,len_exact,len_search,len_best,best_method,gap_task,gap_sch,beats_binary,beats_window,search_beats_classical
2690,SMALL4K,12,4,14,12,14,15,14,1,14,14,14,binary,0,2,0,0,0
6793,SMALL16K,13,6,16,14,17,16,17,1,16,16,16,factor,0,2,1,1,0
5978,SMALL16K,13,8,16,14,19,17,16,3,16,16,16,window,0,2,1,0,0
13180,SMALL16K,14,9,18,15,21,17,18,2,17,17,17,factor,-1,2,1,1,0
5546,SMALL16K,13,7,16,14,18,17,16,3,16,16,16,window,0,2,1,0,0
6292,SMALL16K,13,5,16,13,16,17,16,1,16,16,16,binary,0,3,0,0,0
6723,SMALL16K,13,6,16,14,17,16,16,2,16,16,16,factor,0,2,1,0,0
9046,SMALL16K,14,7,17,14,19,17,18,2,17,17,17,factor,0,3,1,1,0
9309,SMALL16K,14,7,17,14,19,18,18,4,17,17,17,search,0,3,1,1,1
12685,SMALL16K,14,7,17,15,19,18,17,2,17,17,17,window,0,2,1,0,0
6238,SMALL16K,13,7,16,14,18,17,16,2,16,16,16,window,0,2,1,0,0
64371,SMALL64K,16,12,20,18,26,21,21,3,20,21,20,exact,0,2,1,1,0
30708,SMALL64K,15,11,19,17,24,19,19,3,19,19,19,factor,0,2,1,0,0
60059,SMALL64K,16,10,20,18,24,22,21,3,20,21,20,exact,0,2,1,1,0
59103,SMALL64K,16,12,20,18,26,21,21,3,20,21,20,exact,0,2,1,1,0
26793,SMALL64K,15,7,18,16,20,19,20,1,18,18,18,search,0,2,1,1,1
44269,SMALL64K,16,10,20,17,24,21,21,3,20,20,20,search,0,3,1,1,1
63789,SMALL64K,16,10,20,18,24,21,21,3,20,21,20,exact,0,2,1,1,0
49477,SMALL64K,16,6,19,17,20,21,19,3,19,19,19,window,0,2,1,0,0
83068450,MID,27,12,31,28,37,36,33,4,0,33,33,window,2,5,1,0,0
16099543,MID,24,15,28,26,37,32,31,3,0,31,31,window,3,5,1,0,0
902013578,MID,30,14,34,32,42,40,38,3,0,37,37,search,3,5,1,1,1
7047869878,MID,33,18,38,35,49,43,43,4,0,42,42,search,4,7,1,1,1
9006168,MID,24,10,28,25,32,30,30,2,0,29,29,search,1,4,1,1,1
793925864,MID,30,15,34,32,43,40,38,3,0,37,37,search,3,5,1,1,1
129008354243,MID,37,20,42,40,55,49,47,3,0,45,45,search,3,5,1,1,1
22372917,MID,25,12,29,26,35,34,31,3,0,30,30,search,1,4,1,1,1
128091250050,MID,37,20,42,40,55,50,47,3,0,47,47,window,5,7,1,0,0
1017514264,MID,30,12,34,32,40,39,37,2,0,36,36,search,2,4,1,1,1
222451659515,MID,38,24,43,41,60,53,51,2,0,49,49,search,6,8,1,1,1
43978061329,MID,36,19,41,38,53,49,46,3,0,45,45,search,4,7,1,1,1
18713405933,MID,35,22,40,37,55,47,47,2,0,45,45,search,5,8,1,1,1
134671139987,MID,37,18,42,40,53,51,48,2,0,46,46,search,4,6,1,1,1
16512375905,MID,34,18,39,36,50,45,43,2,0,43,43,window,4,7,1,0,0
14596230104,MID,34,15,38,36,47,45,41,2,0,40,40,search,2,4,1,1,1
41624079645,MID,36,19,41,38,53,48,46,4,0,45,45,search,4,7,1,1,1
116391505210,MID,37,21,42,40,56,49,48,3,0,47,47,search,5,7,1,1,1
813649516,MID,30,17,35,32,45,38,38,3,0,37,37,search,2,5,1,1,1
9031966925,MID,34,15,38,35,47,45,43,2,0,41,41,search,3,6,1,1,1
26862964,MID,25,14,29,27,37,33,33,2,0,32,32,search,3,5,1,1,1
94432561,MID,27,13,31,29,38,35,34,3,0,33,33,search,2,4,1,1,1
499331993551,MID,39,19,44,41,56,52,48,3,0,47,47,search,3,6,1,1,1
527451916575,MID,39,22,44,42,59,50,50,3,0,49,49,search,5,7,1,1,1
424293284995,MID,39,20,44,41,57,53,50,2,0,49,49,search,5,8,1,1,1
3825510871,MID,32,15,36,34,45,43,40,3,0,40,40,window,4,6,1,0,0
724375769458,MID,40,15,44,42,53,53,49,3,0,48,48,search,4,6,1,1,1
12086631135,MID,34,20,39,36,52,44,44,3,0,42,42,search,3,6,1,1,1
567134945,MID,30,15,34,31,43,39,38,3,0,37,37,search,3,6,1,1,1
5563632642,MID,33,14,37,35,45,41,41,3,0,40,40,search,3,5,1,1,1
3686328181,MID,32,21,37,35,51,40,41,3,0,40,40,factor,3,5,1,1,0
1020884135,MID,30,18,35,32,46,42,39,3,0,38,38,search,3,6,1,1,1
665077623690,MID,40,22,45,42,60,51,51,4,0,50,50,search,5,8,1,1,1
858046873328,MID,40,22,45,42,60,54,51,3,0,49,49,search,4,7,1,1,1
12452100886,MID,34,20,39,36,52,45,44,3,0,42,42,search,3,6,1,1,1
558603809,MID,30,13,34,31,41,38,39,2,0,37,37,search,3,6,1,1,1
58362085015,MID,36,22,41,39,56,49,48,3,0,46,46,search,5,7,1,1,1
858105880543,MID,40,25,45,43,63,55,53,3,0,50,50,search,5,7,1,1,1
45414478421,MID,36,19,41,38,53,49,47,3,0,45,45,search,4,7,1,1,1
588487704,MID,30,12,34,31,40,37,37,2,0,35,35,search,1,4,1,1,1
3065452529,MID,32,20,37,34,50,41,41,3,0,40,40,search,3,6,1,1,1
366759653114,MID,39,20,44,41,57,50,50,3,0,48,48,search,4,7,1,1,1
697099893863,MID,40,19,45,42,57,52,50,3,0,49,49,search,4,7,1,1,1
119165253182,MID,37,25,42,40,60,49,49,3,0,48,48,search,6,8,1,1,1
78190856,MID,27,9,31,28,34,34,33,4,0,32,32,search,1,4,1,1,1
22483624613,MID,35,15,39,37,48,46,43,3,0,42,42,search,3,5,1,1,1
71655843117,MID,37,17,42,39,52,50,47,3,0,45,45,search,3,6,1,1,1
8724279598,MID,34,12,38,35,44,44,42,2,0,40,40,search,2,5,1,1,1
1092948893132,MID,40,24,45,43,62,51,51,3,0,50,50,search,5,7,1,1,1
3725164237,MID,32,19,37,34,49,42,42,2,0,40,40,search,3,6,1,1,1
943314116946,MID,40,20,45,42,58,51,51,4,0,50,50,search,5,8,1,1,1
485813297,MID,29,16,33,31,43,40,36,3,0,36,36,window,3,5,1,0,0
3311189934,MID,32,20,37,34,50,43,42,3,0,41,41,search,4,7,1,1,1
27815784,MID,25,13,29,27,36,34,32,2,0,30,30,search,1,3,1,1,1
18357338155,MID,35,14,39,36,47,45,43,3,0,42,42,search,3,6,1,1,1
17152108695,MID,34,20,39,37,52,46,44,3,0,43,43,search,4,6,1,1,1
6490899350,MID,33,15,37,35,46,44,42,2,0,41,41,search,4,6,1,1,1
32691448104,MID,35,19,40,38,52,47,44,3,0,44,44,window,4,6,1,0,0
212572681,MID,28,13,32,30,39,36,36,3,0,35,35,search,3,5,1,1,1
866367175135,MID,40,25,45,43,63,54,52,3,0,50,50,search,5,7,1,1,1
