phase,arm,seed,round,target,best_gate,best_agree_distinct,n_archive,n_clean,n_checked,n_irred,d4_rejects,promoted,promoted_len,stone_event,f_reach,e_reach,new_f,new_e,ms
probe,probe_ctrl_agree,0xA70F,1,distinct,0.8125,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,5209
probe,probe_ctrl_agree,0xA70F,2,distinct,0.8616,0.8616,0,0,0,0,0,0,0,0,0,0,0,0,12015
probe,probe_ctrl_agree,0xA70F,3,distinct,0.8750,0.8750,0,0,0,0,0,0,0,0,0,0,0,0,18785
probe,probe_ctrl_agree,0xA70F,99,final,0.8750,0.8750,0,0,0,0,0,0,0,0,0,0,0,0,18785
probe,probe_curriculum,0xA70F,1,S1_membership,1.0000,0.0536,0,0,0,0,0,0,0,0,0,0,0,0,4595
probe,probe_curriculum,0xA70F,2,S2_noveltyflag,1.0000,0.7098,0,0,0,0,0,0,0,0,0,0,0,0,10860
probe,probe_curriculum,0xA70F,3,S3_distinct,0.8750,0.8750,0,0,0,0,0,0,0,0,0,0,0,0,18297
probe,probe_curriculum,0xA70F,99,final,0.8750,0.8750,0,0,0,0,0,0,0,0,0,0,0,0,18298
probe,probe_mech_pure,0xA70F,1,distinct,0.6667,0.4464,0,0,0,0,0,0,0,0,0,0,0,0,8685
probe,probe_mech_pure,0xA70F,2,distinct,0.7083,0.4464,0,0,0,0,0,0,0,0,0,0,0,0,20099
probe,probe_mech_pure,0xA70F,3,distinct,0.8381,0.4464,0,0,0,0,0,0,0,0,0,0,0,0,32113
probe,probe_mech_pure,0xA70F,99,final,0.4464,0.4464,0,0,0,0,0,0,0,0,0,0,0,0,32113
probe,probe_mech_blend,0xA70F,1,distinct,0.6205,0.7366,0,0,0,0,0,0,0,0,0,0,0,0,13918
probe,probe_mech_blend,0xA70F,2,distinct,0.6930,0.7723,0,0,0,0,0,0,0,0,0,0,0,0,34384
probe,probe_mech_blend,0xA70F,3,distinct,0.7543,0.7723,0,0,0,0,0,0,0,0,0,0,0,0,56327
probe,probe_mech_blend,0xA70F,99,final,0.7723,0.7723,0,0,0,0,0,0,0,0,0,0,0,0,56327
probe,probe_ctrl_agree,0x5EED2,1,distinct,0.7902,0.7902,0,0,0,0,0,0,0,0,0,0,0,0,5062
probe,probe_ctrl_agree,0x5EED2,2,distinct,0.8393,0.8393,0,0,0,0,0,0,0,0,0,0,0,0,11972
probe,probe_ctrl_agree,0x5EED2,3,distinct,0.8393,0.8393,0,0,0,0,0,0,0,0,0,0,0,0,19097
probe,probe_ctrl_agree,0x5EED2,99,final,0.8393,0.8393,0,0,0,0,0,0,0,0,0,0,0,0,19097
probe,probe_curriculum,0x5EED2,1,S1_membership,1.0000,0.0536,0,0,0,0,0,0,0,0,0,0,0,0,4830
probe,probe_curriculum,0x5EED2,2,S2_noveltyflag,1.0000,0.7098,0,0,0,0,0,0,0,0,0,0,0,0,10912
probe,probe_curriculum,0x5EED2,3,S3_distinct,0.8348,0.8348,0,0,0,0,0,0,0,0,0,0,0,0,18205
probe,probe_curriculum,0x5EED2,99,final,0.8348,0.8348,0,0,0,0,0,0,0,0,0,0,0,0,18205
probe,probe_mech_pure,0x5EED2,1,distinct,0.5932,0.6920,0,0,0,0,0,0,0,0,0,0,0,0,7947
probe,probe_mech_pure,0x5EED2,2,distinct,0.8318,0.7232,0,0,0,0,0,0,0,0,0,0,0,0,20009
probe,probe_mech_pure,0x5EED2,3,distinct,0.8318,0.7321,0,0,0,0,0,0,0,0,0,0,0,0,32966
probe,probe_mech_pure,0x5EED2,99,final,0.7321,0.7321,0,0,0,0,0,0,0,0,0,0,0,0,32966
probe,probe_mech_blend,0x5EED2,1,distinct,0.6543,0.7500,0,0,0,0,0,0,0,0,0,0,0,0,13221
probe,probe_mech_blend,0x5EED2,2,distinct,0.7722,0.7500,0,0,0,0,0,0,0,0,0,0,0,0,32258
probe,probe_mech_blend,0x5EED2,3,distinct,0.7900,0.7500,0,0,0,0,0,0,0,0,0,0,0,0,52430
probe,probe_mech_blend,0x5EED2,99,final,0.7500,0.7500,0,0,0,0,0,0,0,0,0,0,0,0,52430
forge,forge_ctrl,0xA70F,0,baseline,0,0,0,0,0,0,0,0,0,none,0,3,0,0,0
forge,forge_ctrl,0xA70F,1,wall_family,0.9330,0.7723,33,25,25,25,0,1,27,none,0,3,0,0,41388
forge,forge_ctrl,0xA70F,2,wall_family,0.7723,0.7723,51,38,38,38,0,1,13,none,0,4,0,1,44463
forge,forge_ctrl,0xA70F,3,wall_family,0.5670,0.7723,37,29,29,24,0,1,7,none,0,4,0,0,44861
forge,forge_ctrl,0xA70F,4,wall_family,0.5313,0.7723,38,26,26,25,0,1,16,none,0,4,0,0,44178
forge,forge_ctrl,0xA70F,5,wall_family,0.7857,0.7723,41,30,30,22,0,1,4,none,0,4,0,0,43061
forge,forge_ctrl,0xA70F,6,wall_family,0.5625,0.7723,26,20,20,17,0,1,11,none,0,4,0,0,44578
forge,forge_ctrl,0xA70F,7,wall_family,0.7857,0.7723,65,46,46,40,0,1,13,none,0,4,0,0,47677
forge,forge_ctrl,0xA70F,8,wall_family,0.7455,0.7723,109,98,80,39,0,1,15,none,0,4,0,0,46761
forge,forge_ctrl,0xA70F,9,wall_family,0.7009,0.7723,40,31,31,24,0,1,6,none,0,4,0,0,45289
forge,forge_ctrl,0xA70F,10,wall_family,0.6786,0.7723,36,28,28,26,0,1,9,none,0,4,0,0,49305
forge,forge_ctrl,0x5EED2,0,baseline,0,0,0,0,0,0,0,0,0,none,0,3,0,0,0
forge,forge_ctrl,0x5EED2,1,wall_family,0.9375,0.7679,37,27,27,24,0,1,24,none,0,3,0,0,41916
forge,forge_ctrl,0x5EED2,2,wall_family,0.9464,0.7366,31,25,25,24,0,1,14,none,0,3,0,0,46186
forge,forge_ctrl,0x5EED2,3,wall_family,0.4643,0.7366,27,19,19,18,0,1,7,none,0,4,0,1,43629
forge,forge_ctrl,0x5EED2,4,wall_family,0.8527,0.7366,69,49,49,44,0,1,4,none,0,4,0,0,43764
forge,forge_ctrl,0x5EED2,5,wall_family,0.6027,0.7366,39,30,30,26,2,1,7,none,0,5,0,1,46799
forge,forge_ctrl,0x5EED2,6,wall_family,0.6473,0.7366,50,36,36,30,0,1,8,none,0,5,0,0,42777
forge,forge_ctrl,0x5EED2,7,wall_family,0.6295,0.7366,46,30,30,25,0,1,11,none,0,5,0,0,45844
forge,forge_ctrl,0x5EED2,8,wall_family,0.6473,0.7366,38,28,28,24,0,1,9,none,0,5,0,0,43920
forge,forge_ctrl,0x5EED2,9,wall_family,0.8482,0.7366,52,37,37,33,0,1,14,none,0,5,0,0,48109
forge,forge_ctrl,0x5EED2,10,wall_family,0.6116,0.7321,57,44,44,28,1,1,8,none,0,5,0,0,49847
forge,forge_curr,0xA70F,0,baseline,0,0,0,0,0,0,0,0,0,none,0,3,0,0,0
forge,forge_curr,0xA70F,1,S1_membership,0.9330,0.4286,19,14,14,14,0,0,0,none,0,3,0,0,5227
forge,forge_curr,0xA70F,2,S1_membership,1.0000,0.6741,79,57,57,57,0,1,25,stone_solved,0,3,0,0,5893
forge,forge_curr,0xA70F,3,S2_noveltyflag,1.0000,0.6920,97,81,80,78,0,1,26,stone_solved,6,4,6,1,6887
forge,forge_curr,0xA70F,4,wall_family,0.6607,0.5536,122,107,80,80,0,1,18,compose_advance,6,4,0,0,9022
forge,forge_curr,0xA70F,5,wall_family,0.5000,0.5179,61,50,50,49,0,1,17,none,6,4,0,0,9402
