row,seed,arm,target,true_family,family_used,mechanism,solved,evals,test_acc,router_top1
router_loo,0xF0235A11CE0FF1CE,,,,63,0.6508,,,,
target,0xF0235A11CE0FF1CE,hand,"B1 random monomial deg2",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B2 random monomial deg3",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B3 sum(g) % 7",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B4 sign%mod 11",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B5 Walsh χ{S=0x11}",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B6 Walsh χ{S=0xA4}",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B7 Walsh χ{S=0x0A}",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B8 parity-of-count",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B9 oriented v1>v0",gf2,gf2,hand,0,45,0.5000,base
target,0xF0235A11CE0FF1CE,hand,"B10 parity AND sum%5",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"B11 inversion parity",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C01 XOR 0x0F",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C02 parity XOR 0x33",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C03 XOR 0x55",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C04 XOR 0xAA",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C05 XOR 0x3C",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C06 XOR 0x66",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C07 XOR 0x99",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C08 parity count",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C09 inv parity",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C10 parity XOR 0x0F",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"C11 XOR 0x37",gf2,gf2,hand,1,45,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D01 sum%2",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D02 sum%3",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D03 sum%5",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D04 sum%7",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D05 sum%11",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D06 sum%13",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D07 count3%3",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D08 count3%4",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D09 count3%5",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D10 count3%6",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"D11 subset-parity{0-3}",base,base,hand,1,442,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"TE1 count(>=1)%4==0",thresh,thresh,hand,1,25,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"TE2 count(>=2)%3==0",thresh,thresh,hand,1,25,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"TE3 count(>=5)%2==0",thresh,thresh,hand,1,25,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"TE4 count(>=1)%3==1",thresh,thresh,hand,1,25,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"TE5 count(>=4)%5==0",thresh,thresh,hand,1,25,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"ME1 sum%2==c1%2",mixr,mixr,hand,0,37,0.5143,base
target,0xF0235A11CE0FF1CE,hand,"ME2 c2%3==inv%3",mixr,mixr,hand,0,37,0.6560,base
target,0xF0235A11CE0FF1CE,hand,"ME3 sum%4==inv%4",mixr,mixr,hand,0,37,0.7383,base
target,0xF0235A11CE0FF1CE,hand,"ME4 c1%3==c5%3",mixr,mixr,hand,0,37,0.6469,base
target,0xF0235A11CE0FF1CE,hand,"ME5 sum%5==c4%5",mixr,mixr,hand,0,37,0.7880,base
target,0xF0235A11CE0FF1CE,hand,"RE1 c2*c5%4==0",ratio,ratio,hand,0,37,0.7583,base
target,0xF0235A11CE0FF1CE,hand,"RE2 c1*c4%5==0",ratio,ratio,hand,1,37,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RE3 c3*c1%3==0",ratio,ratio,hand,0,37,0.7137,base
target,0xF0235A11CE0FF1CE,hand,"RE4 c2*c4%3==0",ratio,ratio,hand,0,37,0.7189,base
target,0xF0235A11CE0FF1CE,hand,"RE5 c1*c5%2==0",ratio,ratio,hand,0,37,0.7594,base
target,0xF0235A11CE0FF1CE,hand,"RN1 run(>=2)>=4",run,run,hand,0,31,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RN2 run(>=4)>=2",run,run,hand,0,31,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RN3 numLocalMax>=2",run,run,hand,1,31,1.0000,base
target,0xF0235A11CE0FF1CE,hand,"RN4 firstDescent<3",run,run,hand,1,31,1.0000,base
