split,seed,arm,candidate_evaluations,grammar,mask,modulus,residue,validation_accuracy,detail
measurement,0xA300000000000001,fixed_menu,8,threshold_count,4,3,,0.5060,RAW
measurement,0xA300000000000001,random_directed,8,directed_partition,198,2,0,0.4700,RAW
measurement,0xA300000000000001,proposed_directed,8,directed_partition,2,3,1,0.6220,RAW
measurement,0xA300000000000001,fixed_menu,9,threshold_count,5,3,,0.5633,RAW
measurement,0xA300000000000001,random_directed,9,directed_partition,215,2,0,0.4653,RAW
measurement,0xA300000000000001,proposed_directed,9,directed_partition,2,3,2,0.5800,RAW
measurement,0xA300000000000001,fixed_menu,10,threshold_count,1,2,,0.4293,RAW
measurement,0xA300000000000001,random_directed,10,directed_partition,35,2,0,0.4913,RAW
measurement,0xA300000000000001,proposed_directed,10,directed_partition,3,2,0,0.4587,RAW
measurement,0xA300000000000001,fixed_menu,11,threshold_count,2,2,,0.4900,RAW
measurement,0xA300000000000001,random_directed,11,directed_partition,86,2,0,0.4760,RAW
measurement,0xA300000000000001,proposed_directed,11,directed_partition,3,2,1,0.5413,RAW
measurement,0xA300000000000001,fixed_menu,12,threshold_count,3,2,,0.5327,RAW
measurement,0xA300000000000001,random_directed,12,directed_partition,114,2,1,0.5313,RAW
measurement,0xA300000000000001,proposed_directed,12,directed_partition,3,3,0,0.5973,RAW
measurement,0xA300000000000001,fixed_menu,13,threshold_count,4,2,,0.5520,RAW
measurement,0xA300000000000001,random_directed,13,directed_partition,240,2,1,0.5427,RAW
measurement,0xA300000000000001,proposed_directed,13,directed_partition,3,3,1,0.5553,RAW
measurement,0xA300000000000001,fixed_menu,14,threshold_count,5,2,,0.4567,RAW
measurement,0xA300000000000001,random_directed,14,directed_partition,136,2,1,0.5340,RAW
measurement,0xA300000000000001,proposed_directed,14,directed_partition,3,3,2,0.5560,RAW
measurement,0xA300000000000001,fixed_menu,15,threshold_count,1,3,,0.5547,RAW
measurement,0xA300000000000001,random_directed,15,directed_partition,64,2,0,0.4653,RAW
measurement,0xA300000000000001,proposed_directed,15,directed_partition,4,2,0,0.4713,RAW
measurement,0xA300000000000001,fixed_menu,16,threshold_count,2,3,,0.5280,RAW
measurement,0xA300000000000001,random_directed,16,directed_partition,23,2,0,0.4867,RAW
measurement,0xA300000000000001,proposed_directed,16,directed_partition,4,2,1,0.5287,RAW
measurement,0xA300000000000001,fixed_menu,17,threshold_count,3,3,,0.5120,RAW
measurement,0xA300000000000001,random_directed,17,directed_partition,19,2,0,0.4900,RAW
measurement,0xA300000000000001,proposed_directed,17,directed_partition,4,3,0,0.5027,RAW
measurement,0xA300000000000001,fixed_menu,18,threshold_count,4,3,,0.5060,RAW
measurement,0xA300000000000001,random_directed,18,directed_partition,1,3,1,0.6287,RAW
measurement,0xA300000000000001,proposed_directed,18,directed_partition,4,3,1,0.6273,RAW
measurement,0xA300000000000001,fixed_menu,19,threshold_count,5,3,,0.5633,RAW
measurement,0xA300000000000001,random_directed,19,directed_partition,106,2,0,0.4793,RAW
measurement,0xA300000000000001,proposed_directed,19,directed_partition,4,3,2,0.5787,RAW
measurement,0xA300000000000001,fixed_menu,20,threshold_count,1,2,,0.4293,RAW
measurement,0xA300000000000001,random_directed,20,directed_partition,230,3,2,0.5627,RAW
measurement,0xA300000000000001,proposed_directed,20,directed_partition,5,2,0,0.4553,RAW
measurement,0xA300000000000001,fixed_menu,21,threshold_count,2,2,,0.4900,RAW
measurement,0xA300000000000001,random_directed,21,directed_partition,117,2,0,0.4933,RAW
measurement,0xA300000000000001,proposed_directed,21,directed_partition,5,2,1,0.5447,RAW
measurement,0xA300000000000001,fixed_menu,22,threshold_count,3,2,,0.5327,RAW
measurement,0xA300000000000001,random_directed,22,directed_partition,184,3,1,0.6047,RAW
measurement,0xA300000000000001,proposed_directed,22,directed_partition,5,3,0,0.5820,RAW
measurement,0xA300000000000001,fixed_menu,23,threshold_count,4,2,,0.5520,RAW
measurement,0xA300000000000001,random_directed,23,directed_partition,58,3,0,0.5140,RAW
measurement,0xA300000000000001,proposed_directed,23,directed_partition,5,3,1,0.5667,RAW
measurement,0xA300000000000001,fixed_menu,24,threshold_count,5,2,,0.4567,RAW
measurement,0xA300000000000001,random_directed,24,directed_partition,83,2,0,0.4767,RAW
measurement,0xA300000000000001,proposed_directed,24,directed_partition,5,3,2,0.5600,RAW
measurement,0xA300000000000001,fixed_menu,25,threshold_count,1,3,,0.6240,RAW
measurement,0xA300000000000001,random_directed,25,directed_partition,89,2,1,0.5380,RAW
