arm,seed,round,depth_budget,lib_before,lib_after,archive,n_clean,n_checked,n_irreducible,promoted,promoted_len,f_reachable,f_total,e_reachable,e_total,new_f_flips,new_e_flips,new_self,new_composed,round_ms
aimed_annealed,0xA70F,8,3,12,13,52,31,31,20,1,3,0,9,7,9,0,0,0,0,2328
aimed_annealed,0xA70F,9,3,13,14,59,49,49,26,1,3,0,9,7,9,0,0,0,0,3365
aimed_annealed,0xA70F,10,3,14,15,47,39,39,24,1,5,0,9,7,9,0,0,0,0,3511
aimed_annealed,0x5EED2,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
aimed_annealed,0x5EED2,1,3,5,6,49,44,44,41,1,3,0,9,3,9,0,0,0,0,980
aimed_annealed,0x5EED2,2,3,6,7,63,52,52,50,1,4,0,9,5,9,0,2,2,0,1146
aimed_annealed,0x5EED2,3,3,7,8,53,45,45,37,1,4,0,9,6,9,0,1,0,1,1288
aimed_annealed,0x5EED2,4,3,8,9,65,51,51,40,1,5,0,9,6,9,0,0,0,0,1601
aimed_annealed,0x5EED2,5,3,9,10,49,38,38,30,1,2,0,9,6,9,0,0,0,0,1683
aimed_annealed,0x5EED2,6,3,10,11,50,41,41,32,1,4,0,9,6,9,0,0,0,0,2284
aimed_annealed,0x5EED2,7,3,11,12,49,41,41,31,1,6,0,9,7,9,0,1,0,1,2697
aimed_annealed,0x5EED2,8,3,12,13,49,39,39,26,1,6,0,9,7,9,0,0,0,0,3064
aimed_annealed,0x5EED2,9,3,13,14,54,45,45,35,1,4,0,9,7,9,0,0,0,0,4006
aimed_annealed,0x5EED2,10,3,14,15,46,39,39,24,1,4,0,9,7,9,0,0,0,0,3594
aimed_promote,0xA70F,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
aimed_promote,0xA70F,1,3,5,6,51,36,36,35,1,9,0,9,5,9,0,2,2,0,1069
aimed_promote,0xA70F,2,3,6,7,48,38,38,29,1,8,0,9,5,9,0,0,0,0,1187
aimed_promote,0xA70F,3,3,7,8,51,44,44,40,1,8,0,9,7,9,0,2,1,1,1449
aimed_promote,0xA70F,4,3,8,9,42,35,35,26,1,9,0,9,7,9,0,0,0,0,1615
aimed_promote,0xA70F,5,3,9,10,45,40,40,18,1,13,0,9,7,9,0,0,0,0,1518
aimed_promote,0xA70F,6,3,10,11,56,47,47,32,1,10,0,9,7,9,0,0,0,0,2566
aimed_promote,0xA70F,7,3,11,12,56,43,43,35,1,15,0,9,7,9,0,0,0,0,3324
aimed_promote,0xA70F,8,3,12,13,42,34,34,26,1,13,0,9,7,9,0,0,0,0,3526
aimed_promote,0xA70F,9,3,13,14,49,40,40,21,1,10,0,9,7,9,0,0,0,0,4196
aimed_promote,0xA70F,10,3,14,15,33,26,26,20,1,8,0,9,7,9,0,0,0,0,4461
aimed_promote,0x5EED2,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
aimed_promote,0x5EED2,1,3,5,6,40,32,32,30,1,6,0,9,5,9,0,2,2,0,948
aimed_promote,0x5EED2,2,3,6,7,43,31,31,24,1,8,0,9,5,9,0,0,0,0,1125
aimed_promote,0x5EED2,3,3,7,8,50,41,41,35,1,10,0,9,5,9,0,0,0,0,1458
aimed_promote,0x5EED2,4,3,8,9,63,48,48,45,1,12,2,9,5,9,2,0,2,0,1786
aimed_promote,0x5EED2,5,3,9,10,39,30,30,28,1,18,2,9,7,9,0,2,1,1,1738
aimed_promote,0x5EED2,6,3,10,11,50,36,36,27,1,8,2,9,7,9,0,0,0,0,2176
aimed_promote,0x5EED2,7,3,11,12,46,30,30,24,1,11,2,9,7,9,0,0,0,0,2827
aimed_promote,0x5EED2,8,3,12,13,38,28,28,22,1,9,2,9,7,9,0,0,0,0,3004
aimed_promote,0x5EED2,9,3,13,14,52,37,37,32,1,14,2,9,7,9,0,0,0,0,4389
aimed_promote,0x5EED2,10,3,14,15,57,44,44,25,1,10,2,9,7,9,0,0,0,0,4720
