phase,seed,target,family_or_arm,members_or_idx,detail,val_or_cov,tst,cert_or_solved,cov_after_or_probes,r2_or_certs
base_rate,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",-,0,"-",0.4950,,,,
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST monomial(deg<=8),255,"phi(0x0F)",0.5577,0.5349,0,0.5006,-0.1125
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST pair_relation,28,"pair(2,4)",0.5337,0.4806,0,0.4903,-0.0647
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST walsh(sign bits),255,"chi(0x33)",0.5343,0.4869,0,0.4937,-0.1086
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST spectral cos(w*c3),800,"cos(w*c3),w=2.0970",0.5349,0.4909,0,0.4920,-0.0421
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST clifford,64,"sin(0.049(v1-v0))",0.5206,0.4646,0,0.4880,0.9458
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST world_sum_mod,19,"sum%19==0",0.5229,0.4606,0,0.4909,-0.0485
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EXIST world_sign_mod,19,"sign%17==0",0.5200,0.4731,0,0.4869,-0.0238
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",EARNED cmp(round c),1030,"cmp(low6,cos w=1.052)",0.5411,0.4846,0,0.4869,0.0855
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",NEW thresh,264,"thresh(k=2,mod5)",0.5280,0.4920,0,0.4943,0.0100
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",NEW mixr,396,"mixr(sum,count3,3x3,cos w=2.147)",0.5389,0.5063,0,0.4857,-0.0676
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",NEW ratio,381,"ratio(prod,hi3lo2,cos w=1.361)",0.5337,0.4966,0,0.4914,-0.0471
family_diag,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",NEW run,330,"run(firstDescentPos,cos w=0.576)",0.5314,0.4737,0,0.4840,0.2537
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:count3,9,"spectral+modsynth(count)",0.5034,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:gridSum,41,"world_sum_mod",0.4846,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:signPattern,256,"walsh+world_sign_mod",0.5149,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:v1-v0,11,"clifford",0.4989,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:inversion,29,"cmp(all28)",0.5160,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:max_cell,6,"pipeline(max)",0.4863,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",basis:sum01,11,"pipeline(sum01)",0.5303,,,,
base_rate,0xF0235A11CE0FF1CE,"C03 XOR 0x55",-,0,"-",0.4967,,,,
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST monomial(deg<=8),255,"phi(0x55)",0.5560,0.5400,0,0.4960,-0.1154
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST pair_relation,28,"pair(0,3)",0.5309,0.5006,0,0.5040,-0.1014
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST walsh(sign bits),255,"chi(0x92)",0.5331,0.5074,0,0.4983,-0.0738
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST spectral cos(w*c3),800,"cos(w*c3),w=0.0039",0.5211,0.4966,0,0.5091,0.7300
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST clifford,64,"sin(2.111(v1-v0))",0.5320,0.4737,0,0.5006,0.9458
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST world_sum_mod,19,"sum%11==0",0.5211,0.4931,0,0.5034,-0.0855
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EXIST world_sign_mod,19,"sign%4==0",0.5211,0.4891,0,0.4954,0.4450
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",EARNED cmp(round c),1030,"cmp(all28,cos w=2.670)",0.5389,0.4954,0,0.5017,-0.0844
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",NEW thresh,264,"thresh(k=2,cos w=0.838)",0.5280,0.4926,0,0.4983,0.5049
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",NEW mixr,396,"mixr(sum,inv,3x3,cos w=2.147)",0.5371,0.4989,0,0.5046,-0.0817
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",NEW ratio,381,"ratio(prod,hi4lo1,cos w=1.833)",0.5366,0.5063,0,0.5074,-0.0445
family_diag,0xF0235A11CE0FF1CE,"C03 XOR 0x55",NEW run,330,"run(maxRunGE2,cos w=2.147)",0.5417,0.5040,0,0.4977,-0.0233
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:count3,9,"spectral+modsynth(count)",0.5251,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:gridSum,41,"world_sum_mod",0.5126,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:signPattern,256,"walsh+world_sign_mod",0.5143,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:v1-v0,11,"clifford",0.5040,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:inversion,29,"cmp(all28)",0.4869,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:max_cell,6,"pipeline(max)",0.5034,,,,
basis_ceiling,0xF0235A11CE0FF1CE,"C03 XOR 0x55",basis:sum01,11,"pipeline(sum01)",0.5057,,,,
base_rate,0xF0235A11CE0FF1CE,"C09 inv parity",-,0,"-",0.5026,,,,
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST monomial(deg<=8),255,"phi(0x9A)",0.5343,0.5040,0,0.4834,-0.0880
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST pair_relation,28,"pair(1,4)",0.5291,0.5086,0,0.4920,-0.0717
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST walsh(sign bits),255,"chi(0x9A)",0.5314,0.4943,0,0.4709,-0.0775
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST spectral cos(w*c3),800,"cos(w*c3),w=1.2606",0.5166,0.4846,0,0.4823,0.1557
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST clifford,64,"sin(0.049(v1-v0))",0.5234,0.5057,0,0.4731,0.9458
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST world_sum_mod,19,"sum%15==0",0.5103,0.4794,0,0.4800,0.0137
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EXIST world_sign_mod,19,"sign%19==0",0.5149,0.5120,0,0.4771,-0.0075
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",EARNED cmp(round c),1030,"cmp(all28,mod2)",1.0000,1.0000,1,1.0000,-0.0713
family_diag,0xF0235A11CE0FF1CE,"C09 inv parity",NEW thresh,264,"thresh(k=4,mod5)",0.5269,0.5131,0,0.4691,0.0695
