idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,7,ADD_CONST,5,0,4,0xDD8D6FBB3B6E04BB,4
1,7,ADD_CONST,4,5,2,0x251EC6DABFAF6745,4
2,14,ADD_ROT,5,2,6,0xEEE955F3B74E2A1E,4
3,13,MUM,7,4,0,0x0FE518E6294ED9DD,4
