artifact,policy,experiments,charged_bytes,heldout_uncertainty,resource_loss,distinct_units,trace_digest,verdict
round_aa_aa1,organism,24,96,1,3446,12,0x2c8fb8ee57d109dd,VALID_NEGATIVE:opaque_policy_reduces_some_uncertainty_but_VM_supplies_experiment_byte_fields_and_retirement_axis
round_aa_aa1,random,24,96,1,3326,9,0x4126ca8561cfac4f,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,fixed,24,96,1,3223,1,0xed440a20da4b6153,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,replay,24,96,1,3191,1,0x97329bdef1bdcca1,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,cheapest,24,96,1,3195,1,0x96693c8457751fa,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,frequency,24,96,1,3195,1,0x96693c8457751fa,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,address,24,96,1,3295,12,0x7cd87dea4e69bead,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,name,24,96,1,3307,6,0xad72d4ffd06a6e96,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,shuffled,24,96,1,3272,7,0x14f260cea976c71c,CONTROL:direction_destroyed
round_aa_aa1,false_evidence,24,96,0,3274,12,0xa21c1ed9ed845f6c,CONTROL:direction_destroyed
round_aa_aa1,recoded,24,96,1,3362,12,0x225606a9470227e6,CONTROL:equal_experiment_and_execution_cost
round_aa_aa1,ablated,24,96,1,3326,9,0x4126ca8561cfac4f,CONTROL:direction_destroyed
round_aa_aa1,oracle,24,96,1,3149,12,0x51101e58ae9aa912,INVALID_ORACLE_CONTROL:evaluator_private_ceiling
round_aa_aa1,attack_hidden_question_grammar,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_evaluator_read,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_evaluator_rewrite,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_observer_influence,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_answer_transcript,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_duplicate_evidence,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_post_test_selection,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_cost_omission,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_bloat,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_freeze_edit,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_nondeterminism,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
round_aa_aa1,attack_llm_text_embedding,0,0,0,0,0,0x0,CONTROL_PASS:fail_closed
