round,arm,condition,heldout_errors,heldout_events,proposal_cost,recruited_ports,action_composition,freeze_state,verdict,detail
round_v_v2,task_aligned_supplied,matched,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,task_aligned_supplied,channel_permutation,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,task_aligned_supplied,affine_raw_recode,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,task_aligned_supplied,distractor_insertion,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,task_aligned_supplied,delayed_effect,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,task_aligned_supplied,missing_channel,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,task_aligned_supplied,actuator_remap,0,1536,8192,2,2,frozen_before_post_freeze_worlds,MEASURED,equal_total_cost_control
round_v_v2,VERDICT,all,3777,10752,8192,2,2,snapshot,VALID_NEGATIVE,matched_errors=0;shifted_errors=3777;transfer_gate=fail;matched_only_does_not_count
round_v_v2,ATTACK,policy_source_has_no_semantic_channel_table,0,0,8192,0,0,immutable_universe,PASS,hostile_check
round_v_v2,ATTACK,hidden_answer_unavailable,0,0,8192,0,0,immutable_universe,PASS,hostile_check
round_v_v2,ATTACK,duplicate_evidence_no_credit,0,0,8192,0,0,immutable_universe,PASS,hostile_check
round_v_v2,ATTACK,bloat_no_score_credit,0,0,8192,0,0,immutable_universe,PASS,hostile_check
round_v_v2,ATTACK,post_freeze_port_edit_denied,0,0,8192,0,0,immutable_universe,PASS,hostile_check
round_v_v2,ATTACK,deterministic_replay_byte_identical,0,0,8192,0,0,immutable_universe,PASS,hostile_check
