phase,label,seed,atom_idx,length,agree1,agree2,agree3,flag,extra
phase1,classify,0x3C6EF372FF55F818,146,7,0.562500,0.562500,0.540179,0,GENUINELY_NON_HUMAN;ops=a_and+a_mul+a_shl+a_shr
phase1,classify,0x3C6EF372FF55F818,147,7,0.316964,0.343750,0.321429,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,148,7,0.513393,0.477679,0.441964,0,GENUINELY_NON_HUMAN;ops=a_popcnt
phase1,classify,0x3C6EF372FF55F818,149,7,0.370536,0.437500,0.464286,0,GENUINELY_NON_HUMAN;ops=a_or+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,150,7,0.674107,0.607143,0.571429,0,GENUINELY_NON_HUMAN;ops=a_mul+a_mum+a_eq+a_sel
phase1,classify,0x3C6EF372FF55F818,151,8,0.383929,0.437500,0.473214,0,GENUINELY_NON_HUMAN;ops=a_and+a_sub+a_shl+a_mum+a_sel
phase1,classify,0x3C6EF372FF55F818,152,8,0.383929,0.343750,0.339286,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_popcnt+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,153,8,0.339286,0.348214,0.361607,0,GENUINELY_NON_HUMAN;ops=a_mum+a_bswap
phase1,classify,0x3C6EF372FF55F818,154,8,0.455357,0.562500,0.642857,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_rotr+a_popcnt+a_sel
phase1,classify,0x3C6EF372FF55F818,155,8,0.316964,0.343750,0.321429,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,156,8,0.308036,0.316964,0.325893,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_shr+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,157,8,0.379464,0.366071,0.352679,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,158,9,0.892857,0.785714,0.687500,0,GENUINELY_NON_HUMAN;ops=a_and+a_shr+a_popcnt+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,159,9,0.285714,0.290179,0.357143,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_popcnt+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,160,9,0.343750,0.339286,0.343750,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,161,9,0.272321,0.308036,0.379464,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_mum
phase1,classify,0x3C6EF372FF55F818,162,9,0.316964,0.343750,0.321429,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_shr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,163,9,0.571429,0.535714,0.500000,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shl+a_shr+a_popcnt+a_mum
phase1,classify,0x3C6EF372FF55F818,164,9,0.571429,0.535714,0.500000,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_popcnt+a_mum
phase1,classify,0x3C6EF372FF55F818,165,9,0.379464,0.366071,0.352679,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_popcnt+a_mum
phase1,classify,0x3C6EF372FF55F818,166,10,0.263393,0.308036,0.325893,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_rotr+a_popcnt+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,167,10,0.334821,0.321429,0.339286,0,GENUINELY_NON_HUMAN;ops=a_or+a_shr+a_popcnt+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,168,10,0.330357,0.343750,0.325893,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,169,10,0.477679,0.535714,0.580357,0,GENUINELY_NON_HUMAN;ops=a_sub+a_shl+a_mum+a_eq+a_sel
phase1,classify,0x3C6EF372FF55F818,170,10,0.352679,0.370536,0.379464,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_rotr+a_popcnt+a_eq
phase1,classify,0x3C6EF372FF55F818,171,10,0.285714,0.312500,0.357143,0,GENUINELY_NON_HUMAN;ops=a_sub+a_shr+a_mum+a_bswap
phase1,classify,0x3C6EF372FF55F818,172,10,0.410714,0.522321,0.593750,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_mum+a_sel
phase1,classify,0x3C6EF372FF55F818,173,10,0.276786,0.290179,0.325893,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_sub+a_mul+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,174,11,0.383929,0.437500,0.473214,0,GENUINELY_NON_HUMAN;ops=a_and+a_sub+a_shl+a_shr+a_mum+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,175,11,0.285714,0.290179,0.357143,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_shr+a_rotr+a_popcnt+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,176,11,0.308036,0.316964,0.357143,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_bswap
phase1,classify,0x3C6EF372FF55F818,177,11,0.441964,0.531250,0.589286,0,GENUINELY_NON_HUMAN;ops=a_and+a_sub+a_shl+a_rotr+a_mum+a_eq+a_sel
phase1,classify,0x3C6EF372FF55F818,178,11,0.330357,0.361607,0.366071,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_sub+a_popcnt+a_mum+a_eq
phase1,classify,0x3C6EF372FF55F818,179,11,0.357143,0.379464,0.383929,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_shl+a_shr+a_rotr+a_popcnt+a_eq
phase1,classify,0x3C6EF372FF55F818,180,12,0.330357,0.343750,0.325893,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_rotr+a_popcnt
phase1,classify,0x3C6EF372FF55F818,181,12,0.357143,0.370536,0.388393,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_rotr+a_popcnt+a_eq
phase1,classify,0x3C6EF372FF55F818,182,12,0.281250,0.303571,0.308036,0,GENUINELY_NON_HUMAN;ops=a_sub+a_shr+a_mum+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,183,12,0.495536,0.598214,0.660714,0,GENUINELY_NON_HUMAN;ops=a_and+a_sub+a_shl+a_rotr+a_mum+a_bswap+a_eq+a_sel
phase1,classify,0x3C6EF372FF55F818,184,12,0.285714,0.343750,0.352679,0,ALIEN_DECORATIVE;ops=a_and+a_sub+a_shl+a_popcnt+a_mum
phase1,classify,0x3C6EF372FF55F818,185,12,0.294643,0.294643,0.325893,0,GENUINELY_NON_HUMAN;ops=a_and+a_or+a_sub+a_mul+a_popcnt+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,186,12,0.357143,0.379464,0.790179,0,GENUINELY_NON_HUMAN;ops=a_mul+a_rotr+a_mum+a_sel
phase1,classify,0x3C6EF372FF55F818,187,12,0.473214,0.459821,0.446429,0,GENUINELY_NON_HUMAN;ops=a_mul+a_rotr+a_mum+a_sel
phase1,classify,0x3C6EF372FF55F818,188,12,0.379464,0.366071,0.352679,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_rotr+a_popcnt+a_mum+a_sel
phase1,classify,0x3C6EF372FF55F818,189,13,0.375000,0.419643,0.455357,0,GENUINELY_NON_HUMAN;ops=a_sub+a_shl+a_shr+a_popcnt+a_mum+a_bswap+a_sel
phase1,classify,0x3C6EF372FF55F818,190,13,0.602679,0.772321,0.879464,0,ALIEN_DECORATIVE;ops=a_sub+a_mul+a_rotr+a_popcnt+a_bswap+a_eq
phase1,classify,0x3C6EF372FF55F818,191,13,0.892857,0.785714,0.687500,0,ALIEN_DECORATIVE;ops=a_or+a_sub+a_shr+a_rotr+a_bswap
phase1,classify,0x3C6EF372FF55F818,192,14,0.276786,0.303571,0.325893,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_shr+a_rotr+a_mum+a_bswap
phase1,classify,0x3C6EF372FF55F818,193,14,0.272321,0.343750,0.343750,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_shr+a_rotr+a_popcnt+a_mum+a_bswap
phase1,classify,0x3C6EF372FF55F818,194,14,0.370536,0.424107,0.464286,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shr+a_rotr+a_mum+a_sel
phase1,classify,0x3C6EF372FF55F818,195,15,0.450893,0.540179,0.629464,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_shr+a_rotr+a_eq
