phase,label,seed,atom_idx,length,agree1,agree2,agree3,flag,extra
phase1,classify,0xC0FFEE,60,16,0.272321,0.348214,0.325893,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_rotr+a_popcnt+a_mum+a_bswap+a_sel
phase1,classify,0xC0FFEE,61,16,0.312500,0.308036,0.361607,0,GENUINELY_NON_HUMAN;ops=a_mul+a_rotr+a_popcnt+a_mum+a_bswap+a_eq+a_sel
phase1,classify,0xC0FFEE,62,19,0.272321,0.308036,0.334821,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_bswap+a_eq+a_sel
phase1,classify,0xC0FFEE,63,19,0.321429,0.316964,0.343750,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_bswap+a_eq+a_sel
phase1,classify,0xC0FFEE,64,21,0.281250,0.290179,0.325893,0,GENUINELY_NON_HUMAN;ops=a_sub+a_mul+a_shl+a_shr+a_rotr+a_popcnt+a_mum+a_bswap+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,65,4,0.495536,0.611607,0.683036,0,GENUINELY_NON_HUMAN;ops=a_mum+a_bswap
phase1,classify,0x9E3779B9800B7C03,66,5,0.669643,0.638393,0.593750,0,GENUINELY_NON_HUMAN;ops=a_and+a_bswap
phase1,classify,0x9E3779B9800B7C03,67,6,0.370536,0.437500,0.464286,0,GENUINELY_NON_HUMAN;ops=a_shr+a_popcnt+a_eq
phase1,classify,0x9E3779B9800B7C03,68,7,0.571429,0.535714,0.500000,0,GENUINELY_NON_HUMAN;ops=a_shl+a_popcnt+a_eq
phase1,classify,0x9E3779B9800B7C03,69,7,0.892857,0.785714,0.687500,0,ALIEN_DECORATIVE;ops=a_sub+a_mul+a_rotr+a_sel
phase1,classify,0x9E3779B9800B7C03,70,7,0.370536,0.437500,0.464286,0,GENUINELY_NON_HUMAN;ops=a_shl+a_bswap+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,71,7,0.303571,0.325893,0.352679,0,GENUINELY_NON_HUMAN;ops=a_shr+a_rotr+a_mum+a_bswap+a_eq
phase1,classify,0x9E3779B9800B7C03,72,7,0.352679,0.459821,0.504464,0,GENUINELY_NON_HUMAN;ops=a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,73,7,0.486607,0.571429,0.602679,0,GENUINELY_NON_HUMAN;ops=a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,74,8,0.517857,0.482143,0.446429,0,GENUINELY_NON_HUMAN;ops=a_shr+a_rotr+a_mum+a_bswap+a_eq
phase1,classify,0x9E3779B9800B7C03,75,8,0.276786,0.299107,0.334821,0,GENUINELY_NON_HUMAN;ops=a_shl+a_rotr+a_mum+a_bswap
phase1,classify,0x9E3779B9800B7C03,76,9,0.513393,0.477679,0.441964,0,GENUINELY_NON_HUMAN;ops=a_and+a_shr+a_rotr+a_popcnt+a_bswap+a_eq
phase1,classify,0x9E3779B9800B7C03,77,9,0.375000,0.419643,0.455357,0,ALIEN_DECORATIVE;ops=a_or+a_rotr+a_bswap+a_sel
phase1,classify,0x9E3779B9800B7C03,78,9,0.669643,0.638393,0.593750,0,GENUINELY_NON_HUMAN;ops=a_and+a_mul+a_bswap
phase1,classify,0x9E3779B9800B7C03,79,9,0.602679,0.665179,0.678571,0,GENUINELY_NON_HUMAN;ops=a_or+a_shl+a_shr+a_sel
phase1,classify,0x9E3779B9800B7C03,80,9,0.348214,0.415179,0.459821,0,GENUINELY_NON_HUMAN;ops=a_sub+a_shr+a_eq
phase1,classify,0x9E3779B9800B7C03,81,10,0.383929,0.437500,0.473214,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shl+a_shr+a_mum+a_eq
phase1,classify,0x9E3779B9800B7C03,82,10,0.892857,0.785714,0.687500,0,ALIEN_DECORATIVE;ops=a_or+a_mul+a_shl+a_mum
phase1,classify,0x9E3779B9800B7C03,83,10,0.397321,0.468750,0.504464,0,GENUINELY_NON_HUMAN;ops=a_or+a_shr+a_rotr+a_bswap+a_sel
phase1,classify,0x9E3779B9800B7C03,84,10,0.334821,0.321429,0.366071,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_mum+a_sel
phase1,classify,0x9E3779B9800B7C03,85,10,0.366071,0.446429,0.535714,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_sel
phase1,classify,0x9E3779B9800B7C03,86,10,0.602679,0.665179,0.678571,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shl+a_shr+a_sel
phase1,classify,0x9E3779B9800B7C03,87,11,0.602679,0.665179,0.678571,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_shl+a_shr+a_sel
phase1,classify,0x9E3779B9800B7C03,88,11,0.575893,0.504464,0.433036,0,GENUINELY_NON_HUMAN;ops=a_or+a_sub+a_mul+a_mum+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,89,11,0.375000,0.419643,0.455357,0,GENUINELY_NON_HUMAN;ops=a_or+a_mul+a_popcnt+a_eq+a_sel
phase1,classify,0x9E3779B9800B7C03,90,12,0.446429,0.526786,0.575893,0,GENUINELY_NON_HUMAN;ops=a_mul+a_shl+a_rotr+a_eq+a_sel
