protocol,record_type,session_id,call_id,target_token,split,action,probe,probe_reply,proposed_tool,route_correct,charged_cost,budget_used,policy_inputs,private_formula,private_target_id,audit_label,test_label,duplicate_control,permutation_control,verdict
round_o_probe_catalog,action,O1-balance,3,O1-21,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,3,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,4,O1-02,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,4,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,5,O1-15,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,5,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,6,O1-08,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,6,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,7,O1-23,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,7,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,8,O1-06,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,8,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,9,O1-12,query,route,balance,aggregate_low,bit_one,true,1,9,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,10,O1-01,query,route,balance,aggregate_high,bit_zero,true,1,10,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,11,O1-17,query,route,balance,aggregate_low,bit_one,true,1,11,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,12,O1-10,query,route,balance,aggregate_high,bit_zero,true,1,12,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,13,O1-05,query,route,balance,aggregate_low,bit_one,true,1,13,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,14,O1-20,query,route,balance,aggregate_high,bit_zero,true,1,14,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,15,O1-03,query,route,balance,aggregate_low,bit_one,true,1,15,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,16,O1-22,query,route,balance,aggregate_high,bit_zero,true,1,16,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,17,O1-09,train,route,balance,aggregate_low,bit_one,true,1,17,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,18,O1-14,train,route,balance,aggregate_high,bit_zero,true,1,18,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,19,O1-00,train,route,balance,aggregate_low,bit_one,true,1,19,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,20,O1-18,train,route,balance,aggregate_high,bit_zero,true,1,20,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,21,O1-07,train,route,balance,aggregate_low,bit_one,true,1,21,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,22,O1-16,train,route,balance,aggregate_high,bit_zero,true,1,22,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,23,O1-11,train,route,balance,aggregate_low,bit_one,true,1,23,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance,24,O1-13,train,route,balance,aggregate_high,bit_zero,true,1,24,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,metric_summary,O1-balance,0,ALL_TEST,test,heldout_route_accuracy,balance,aggregate_only,bit_zero,8/8,total_cost_per_target=1,session_budget=48,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,paired_trace_base,order_reversal,info_bits=1.000;info_per_cost=1.000;train=8/8;query=8/8;restart=PASS_PERSISTENT_BUDGET
round_o_probe_catalog,action,O1-agreement,1,O1-19,train,route,agreement,consistent,bit_zero,true,1,1,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,2,O1-04,train,route,agreement,inconsistent,bit_one,true,1,2,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,3,O1-21,train,route,agreement,consistent,bit_zero,true,1,3,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,4,O1-02,train,route,agreement,inconsistent,bit_one,true,1,4,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,5,O1-15,train,route,agreement,consistent,bit_zero,true,1,5,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,6,O1-08,train,route,agreement,inconsistent,bit_one,true,1,6,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,7,O1-23,train,route,agreement,consistent,bit_zero,true,1,7,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,8,O1-06,train,route,agreement,inconsistent,bit_one,true,1,8,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,9,O1-12,query,route,agreement,consistent,bit_zero,true,1,9,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,10,O1-01,query,route,agreement,inconsistent,bit_one,true,1,10,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,11,O1-17,query,route,agreement,consistent,bit_zero,true,1,11,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,12,O1-10,query,route,agreement,inconsistent,bit_one,true,1,12,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,13,O1-05,query,route,agreement,consistent,bit_zero,true,1,13,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,14,O1-20,query,route,agreement,inconsistent,bit_one,true,1,14,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,15,O1-03,query,route,agreement,consistent,bit_zero,true,1,15,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,16,O1-22,query,route,agreement,inconsistent,bit_one,true,1,16,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,17,O1-09,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,17,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,18,O1-14,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,18,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,19,O1-00,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,19,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,20,O1-18,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,20,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,21,O1-07,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,21,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,22,O1-16,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,22,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,23,O1-11,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,23,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-agreement,24,O1-13,sealed_test,route,agreement,WITHHELD,WITHHELD,WITHHELD,1,24,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,metric_summary,O1-agreement,0,ALL_TEST,test,heldout_route_accuracy,agreement,aggregate_only,bit_zero,8/8,total_cost_per_target=1,session_budget=48,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,paired_trace_base,order_reversal,info_bits=1.000;info_per_cost=1.000;train=8/8;query=8/8;restart=PASS_PERSISTENT_BUDGET
round_o_probe_catalog,action,O1-balance_then_agreement,1,O1-19,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,1,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,2,O1-19,sealed_test,probe,agreement,WITHHELD,none,WITHHELD,1,2,trace+balance+agreement,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
round_o_probe_catalog,action,O1-balance_then_agreement,3,O1-04,sealed_test,route,balance,WITHHELD,WITHHELD,WITHHELD,1,3,trace+declared_probe,WITHHELD,WITHHELD,WITHHELD,WITHHELD,counterfactual_pair,token_and_row_reversal,logged
