arm,seed,cap_idx,feature,raw_verdict,survivor_live,post_revision,test_acc_l1,ladder_novel
aimed_norev,0x00C2B10D20260707,3,walsh(S=0x0C),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,4,monomial(0x83),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,5,walsh(S=0x83),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,6,walsh(S=0x83),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,7,sum%7,remix,0,0,0.8584,1
aimed_norev,0x00C2B10D20260707,8,monomial(0x11),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,9,pair(0;4),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,10,walsh(S=0x11),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,11,walsh(S=0x11),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,12,monomial(0xA4),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,13,walsh(S=0xA4),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,14,walsh(S=0xA4),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,15,monomial(0x0A),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,16,pair(1;3),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,17,walsh(S=0x0A),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,18,walsh(S=0x0A),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,19,walsh(S=0xFF),remix,0,0,0.7360,1
aimed_norev,0x00C2B10D20260707,20,spectral(w=3.1416),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,21,walsh(S=0xFF),remix,0,0,0.7360,1
aimed_norev,0x00C2B10D20260707,22,spectral(w=3.1416),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,23,sum%2,remix,0,0,0.5431,1
aimed_norev,0x00C2B10D20260707,24,spectral(w=2.0735),remix,0,0,0.8153,1
aimed_norev,0x00C2B10D20260707,25,monomial(0x0F),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,26,walsh(S=0x0F),remix,0,0,1.0000,0
aimed_norev,0x00C2B10D20260707,27,walsh(S=0x0F),remix,0,0,1.0000,0
