N,method,evals,best_E,best_F
44,plain_single_ctrl,1,898,1.077951
44,plain_single_ctrl,45,526,1.840304
44,plain_single_ctrl,89,386,2.507772
44,plain_single_ctrl,133,350,2.765714
44,plain_single_ctrl,177,298,3.248322
44,plain_single_ctrl,221,286,3.384615
44,plain_single_ctrl,265,250,3.872000
44,plain_single_ctrl,397,230,4.208696
44,plain_single_ctrl,1893,222,4.360360
44,plain_single_ctrl,2465,218,4.440367
44,plain_single_ctrl,4885,206,4.699029
44,plain_single_ctrl,8317,182,5.318681
44,plain_single_ctrl,50249,178,5.438202
44,plain_single_ctrl,80081,170,5.694118
44,plain_single_ctrl,271482,162,5.975309
44,plain_single_ctrl,784394,158,6.126582
44,plain_single_ctrl,2364491,150,6.453333
44,plain_single_ctrl,2364535,146,6.630137
44,plain_single_ctrl,2668885,134,7.223881
44,plain_pair,10347369,130,7.446154
44,plain_pair,30929425,122,7.934426
44,memetic,145000270,122,7.934426
44,memetic_burst,145000359,342,2.830409
44,memetic_burst,145000447,234,4.136752
44,memetic_burst,145000535,230,4.208696
44,memetic_burst,145000623,122,7.934426
44,memetic_burst,145003000,122,7.934426
44,memetic_burst,145005641,346,2.797688
44,memetic_burst,145005729,302,3.205298
44,memetic_burst,145005817,290,3.337931
44,memetic_burst,145006169,286,3.384615
44,memetic_burst,145006433,274,3.532847
44,memetic_burst,145006521,246,3.934959
44,memetic_burst,145006785,238,4.067227
44,memetic_burst,145006961,230,4.208696
44,memetic_burst,145007753,214,4.523364
44,memetic_burst,145008282,122,7.934426
44,memetic_burst,145010923,330,2.933333
44,memetic_burst,145011011,230,4.208696
44,memetic_burst,145011099,170,5.694118
44,memetic_burst,145011187,150,6.453333
44,memetic_burst,145011275,122,7.934426
44,memetic_burst,145013564,554,1.747292
44,memetic_burst,145013652,346,2.797688
44,memetic_burst,145013740,326,2.969325
44,memetic_burst,145013828,306,3.163399
44,memetic_burst,145013916,298,3.248322
44,memetic_burst,145014180,290,3.337931
44,memetic_burst,145014268,278,3.482014
44,memetic_burst,145014356,250,3.872000
44,memetic_burst,145015236,246,3.934959
44,memetic_burst,145015500,226,4.283186
44,memetic_burst,145016205,566,1.710247
44,memetic_burst,145016293,486,1.991770
44,memetic_burst,145016381,370,2.616216
44,memetic_burst,145016469,330,2.933333
44,memetic_burst,145016557,318,3.044025
44,memetic_burst,145016645,314,3.082803
44,memetic_burst,145016733,294,3.292517
44,memetic_burst,145016821,258,3.751938
44,memetic_burst,145016909,238,4.067227
44,memetic_burst,145017877,206,4.699029
44,memetic_burst,145018846,690,1.402899
44,memetic_burst,145018934,450,2.151111
44,memetic_burst,145019022,374,2.588235
44,memetic_burst,145019110,362,2.674033
44,memetic_burst,145019198,318,3.044025
44,memetic_burst,145019286,310,3.122581
44,memetic_burst,145019374,242,4.000000
44,memetic_burst,145020254,238,4.067227
44,memetic_burst,145021487,514,1.883268
44,memetic_burst,145021575,414,2.338164
44,memetic_burst,145021663,314,3.082803
44,memetic_burst,145021751,310,3.122581
44,memetic_burst,145021839,298,3.248322
44,memetic_burst,145022103,294,3.292517
44,memetic_burst,145022191,270,3.585185
44,memetic_burst,145022807,266,3.639098
44,memetic_burst,145022895,254,3.811024
44,memetic_burst,145023775,230,4.208696
