trial,seed,closure_initial,closure_relaxed,nearest,nearest_dist,mean_vsa,max_vsa
0,6e789e6aa1b965f4,377232993,7655014,REASON,244,254.4000,266
1,beeb8da1658eec67,385913897,7751593,NETWORK,245,255.9000,274
2,bfc846100bfc1e42,378951276,7630247,AETHER,239,253.7000,267
3,b3466f8a7b81a989,392913726,7642320,SYNTAX,239,255.9000,272
4,e474c66a4b98b030,380489443,7609845,AETHER,243,254.1000,269
5,c097314d939736f8,376977059,7715749,IDENTITY,240,255.2000,272
6,72419db23951df99,392610674,7677981,NETWORK,243,254.9000,271
7,44c3cd7f43c661c,384435566,7633283,AETHER,242,255.0000,269
8,9ca8a164477d7801,396351553,7572215,IDENTITY,240,253.5000,268
9,c02d8a5e87afea62,396081551,7617246,SYNTAX,241,254.7000,270
10,bbff7c596e26ce46,380731043,7623166,SYNTAX,242,254.4000,275
11,432a5cd27a6b13a1,387548239,7804162,SYNTAX,240,255.8000,271
12,f080aa269da8a457,392845935,7649658,SYNTAX,239,254.8000,267
13,5424e3deaf36a071,389155958,7627646,SYNTAX,238,255.6000,271
14,124119f8f5acc27a,353783783,7653088,SYNTAX,238,254.1000,272
15,c7b81777bba81f50,394943217,7673378,NETWORK,240,254.0000,269
16,145a11cac985644b,383869651,7616618,IDENTITY,245,254.6000,267
17,6434ff62b4e8edd1,402458303,7708431,AETHER,241,255.2000,277
18,b6d46a242257c018,391137716,7690333,SHADOW,236,255.2000,270
19,1ddb4fcdd7c6d93a,396146895,7592802,AETHER,239,253.8000,275
20,4f73460a7fd6485,381369715,7644813,IDENTITY,242,253.4000,272
21,ea4fff2925fed5bf,403074422,7575389,SYNTAX,242,253.9000,274
22,ef9983fb367d464e,416269076,7587555,AETHER,242,253.7000,270
23,993810e13b72e5f7,380466875,7650866,SYNTAX,241,255.0000,270
24,a56a748bb815cbab,387086087,7666263,AETHER,242,253.0000,266
25,21541a4c43555ce8,405338765,7674690,AETHER,239,253.9000,275
26,74196ed460e5206b,393562410,7663742,IDENTITY,243,253.9000,271
27,abf8064ca5c7fe0a,393343953,7684326,SHADOW,239,255.0000,268
28,b579d288df624bb6,388501084,7615496,AETHER,237,253.7000,279
29,ba57b7db607f9d1a,384224007,7694634,NETWORK,242,253.5000,273
30,b8677ef8de17555c,383383900,7697905,SYNTAX,241,253.9000,267
31,bcd4dd2543bf3fd8,396290878,7671161,IDENTITY,239,254.8000,274
32,98129755f89e39e4,383079742,7689799,AETHER,242,254.3000,268
33,134268759688c202,385784966,7711161,IDENTITY,237,254.4000,267
34,ce4c7f759a91ae81,388534625,7589608,SYNTAX,243,254.8000,268
35,9a8c505971939232,376519005,7775108,SYNTAX,240,255.7000,273
36,56bdc90c44f66b09,382566013,7726306,IDENTITY,238,255.3000,268
37,b667b9039ae8a58a,382927626,7642504,IDENTITY,241,254.4000,277
38,1ded1ddfeec586e,365829583,7586900,AETHER,240,254.1000,276
39,e60bb9617aa6ed70,406190553,7580648,IDENTITY,240,253.4000,270
40,f8ef8aea0035a71b,378793674,7715508,SYNTAX,233,254.2000,270
41,992ffac69a7acd4c,377170316,7617326,IDENTITY,238,253.7000,270
42,28efe333b266f103,401110599,7657043,IDENTITY,238,254.0000,270
43,9cde98852e60034b,387648666,7596381,SYNTAX,237,254.2000,269
44,90f83af9167b6122,385992673,7668553,VOID,242,255.1000,268
45,fb624bd98f2be6c4,392664202,7623564,VOID,242,255.8000,272
