domain,iter,phase,hits,velocity,stagnation,should_reset
alien_hack,0,0.0000,0.00,1.000000,0,false
alien_hack,100,0.0100,0.00,0.492188,0,false
alien_hack,200,0.0200,0.00,0.013794,0,false
alien_hack,300,0.0300,0.00,0.505981,0,false
alien_hack,400,0.0400,0.00,0.119019,0,false
alien_hack,500,0.0500,0.00,0.226440,0,false
alien_hack,600,0.0600,0.00,0.607422,0,false
alien_hack,700,0.0700,0.00,0.500000,0,false
alien_hack,800,0.0800,0.00,0.510376,0,false
alien_hack,900,0.0900,0.00,0.264160,0,false
alien_hack,1000,0.1000,0.00,0.263794,0,false
alien_hack,1100,0.1100,0.00,0.014160,0,false
alien_hack,1200,0.1200,1.00,0.027344,8,false
alien_hack,1300,0.1300,2.00,0.492188,0,false
alien_hack,1400,0.1400,2.00,0.000000,0,false
alien_hack,1500,0.1500,2.00,0.000000,1,false
alien_hack,1600,0.1600,2.00,0.000000,1,false
alien_hack,1700,0.1700,2.00,0.000000,2,false
alien_hack,1800,0.1800,2.00,0.000000,0,false
alien_hack,1900,0.1900,2.00,0.000000,0,false
alien_hack,2000,0.2000,2.00,0.000000,0,false
alien_hack,2100,0.2100,2.00,0.000000,0,false
alien_hack,2200,0.2200,2.00,0.000000,2,false
alien_hack,2300,0.2300,2.00,0.000000,0,false
alien_hack,2400,0.2400,2.00,0.000000,0,false
alien_hack,2500,0.2500,2.00,0.117676,1,false
alien_hack,2600,0.2600,2.00,0.220703,14,false
alien_hack,2700,0.2700,2.00,0.118652,1,false
alien_hack,2800,0.2800,2.00,0.435059,0,false
alien_hack,2900,0.2900,2.00,0.450684,2,false
alien_hack,3000,0.3000,2.00,0.000000,0,false
alien_hack,3100,0.3100,2.00,0.000000,0,false
alien_hack,3200,0.3200,2.00,0.000000,0,false
alien_hack,3300,0.3300,2.00,0.000000,0,false
alien_hack,3400,0.3400,2.00,0.000000,0,false
alien_hack,3500,0.3500,2.00,0.000000,0,false
alien_hack,3600,0.3600,2.00,0.000610,0,false
alien_hack,3700,0.3700,2.00,0.220825,1,false
alien_hack,3800,0.3800,2.00,0.231934,1,false
alien_hack,3900,0.3900,2.00,0.199219,0,false
alien_hack,4000,0.4000,2.00,0.000000,1,false
alien_hack,4100,0.4100,2.00,0.020264,1,false
alien_hack,4200,0.4200,2.00,0.007690,5,false
alien_hack,4300,0.4300,2.00,0.000000,0,false
alien_hack,4400,0.4400,2.00,0.008667,0,false
alien_hack,4500,0.4500,2.00,0.008545,0,false
alien_hack,4600,0.4600,2.00,0.274902,0,false
alien_hack,4700,0.4700,2.00,0.215332,0,false
alien_hack,4800,0.4800,2.00,0.036621,0,false
alien_hack,4900,0.4900,2.00,0.315430,0,false
alien_hack,5000,0.5000,2.00,0.162109,0,false
alien_hack,5100,0.5100,2.00,0.234619,1,false
alien_hack,5200,0.5200,2.00,0.475342,2,false
alien_hack,5300,0.5300,2.00,0.391113,0,false
alien_hack,5400,0.5400,2.00,0.391113,0,false
alien_hack,5500,0.5500,2.00,0.015747,1,false
alien_hack,5600,0.5600,2.00,0.015747,0,false
alien_hack,5700,0.5700,2.00,0.000000,0,false
alien_hack,5800,0.5800,2.00,0.086426,3,false
alien_hack,5900,0.5900,2.00,0.152588,4,false
alien_hack,6000,0.6000,2.00,0.069824,4,false
alien_hack,6100,0.6100,2.00,0.015625,5,false
alien_hack,6200,0.6200,2.00,0.000000,3,false
alien_hack,6300,0.6300,2.00,0.000000,2,false
alien_hack,6400,0.6400,2.00,0.000000,0,false
alien_hack,6500,0.6500,2.00,0.000000,0,false
alien_hack,6600,0.6600,2.00,0.000000,0,false
alien_hack,6700,0.6700,2.00,0.000000,1,false
alien_hack,6800,0.6800,2.00,0.000000,6,false
alien_hack,6900,0.6900,2.00,0.000000,0,false
alien_hack,7000,0.7000,2.00,0.000000,0,false
alien_hack,7100,0.7100,2.00,0.000000,1,false
alien_hack,7200,0.7200,2.00,0.000000,2,false
alien_hack,7300,0.7300,2.00,0.000000,0,false
alien_hack,7400,0.7400,2.00,0.000000,0,false
alien_hack,7500,0.7500,2.00,0.000000,4,false
alien_hack,7600,0.7600,2.00,0.000000,3,false
alien_hack,7700,0.7700,2.00,0.000000,1,false
alien_hack,7800,0.7800,2.00,0.000000,4,false
alien_hack,7900,0.7900,2.00,0.000000,2,false
alien_hack,8000,0.8000,2.00,0.000000,0,false
alien_hack,8100,0.8100,2.00,0.000000,1,false
alien_hack,8200,0.8200,2.00,0.000000,4,false
alien_hack,8300,0.8300,2.00,0.000000,0,false
alien_hack,8400,0.8400,2.00,0.000000,1,false
alien_hack,8500,0.8500,2.00,0.000000,0,false
alien_hack,8600,0.8600,2.00,0.000000,1,false
alien_hack,8700,0.8700,2.00,0.000000,2,false
alien_hack,8800,0.8800,2.00,0.000000,0,false
alien_hack,8900,0.8900,2.00,0.000000,1,false
alien_hack,9000,0.9000,2.00,0.000000,1,false
alien_hack,9100,0.9100,2.00,0.000000,7,false
alien_hack,9200,0.9200,2.00,0.253784,0,false
alien_hack,9300,0.9300,2.00,0.000000,0,false
alien_hack,9400,0.9400,2.00,0.253784,0,false
alien_hack,9500,0.9500,2.00,0.000000,5,false
alien_hack,9600,0.9600,2.00,0.000000,0,false
alien_hack,9700,0.9700,2.00,0.000000,1,false
alien_hack,9800,0.9800,2.00,0.000000,1,false
alien_hack,9900,0.9900,2.00,0.000000,0,false
sort_net,0,0.0000,-21.63,0.010000,0,false
sort_net,100,0.0100,26.31,0.010000,2,false
sort_net,200,0.0200,164.22,0.010000,6,false
sort_net,300,0.0300,178.00,0.010000,8,false
sort_net,400,0.0400,180.00,0.010000,42,false
sort_net,500,0.0500,180.50,0.010000,20,false
sort_net,600,0.0600,180.50,0.010000,65,false
sort_net,700,0.0700,180.50,0.010000,63,false
sort_net,800,0.0800,180.50,0.010000,45,false
sort_net,900,0.0900,180.50,0.010000,145,false
sort_net,1000,0.1000,180.50,0.010000,41,false
sort_net,1100,0.1100,181.00,0.010000,32,false
sort_net,1200,0.1200,181.00,0.010000,5,false
