trial,min_ref_dist,mean_ref_dist,violations,frontier,score,past_parent,field_hash
0,295,296.5417,1478,295,294998526310117000,0,0x1D1838346F8CB48A
1,295,296.7917,1491,295,294998512923123000,0,0xA5076821236E5B75
2,295,296.7083,1483,295,294998521521121000,0,0xF20EE6D4CFAEAC58
