row,policy,opaque_id,phase,tool_hash,program_hash,payload_hash,schema_hash,builds,actions,probes,status,detail
receipt,fixed_ax_complete,f9fa9278eb3d737d,develop,4e9640b247c85a05,58967315222620f1,375772d1edd79f6c,10aaebf672bc000a,2,2,2,rejected,typed_canonical
receipt,fixed_ax_complete,f9fa9278eb3d737d,develop,e0ff2587dbccd344,1bc903704d0b2b1a,375772d1edd79f6c,cd0b57c3d461cc32,3,3,3,rejected,typed_canonical
receipt,fixed_ax_complete,f9fa9278eb3d737d,develop,2513f85d64cb1bda,95d55634c06adf62,375772d1edd79f6c,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,fixed_ax_complete,f9fa9278eb3d737d,develop,-,-,375772d1edd79f6c,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,fixed_ax_complete,f1f15b2967c34b3,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,44409cdd879ab88,d53bd3a187721a8,1,1,1,rejected,typed_canonical
receipt,fixed_ax_complete,f1f15b2967c34b3,holdout,4e9640b247c85a05,58967315222620f1,44409cdd879ab88,10aaebf672bc000a,2,2,2,rejected,typed_canonical
typed_witness,fixed_ax_complete,f1f15b2967c34b3,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,44409cdd879ab88,cd0b57c3d461cc32,3,3,3,accepted,summary=1;witness_hex=313237383a3738393a31333234
receipt,fixed_ax_complete,f1f15b2967c34b3,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,44409cdd879ab88,cd0b57c3d461cc32,3,3,3,accepted,typed_canonical
receipt,fixed_ax_complete,f1f15b2967c34b3,holdout,2513f85d64cb1bda,95d55634c06adf62,44409cdd879ab88,cd0b57c3d461cc32,3,4,4,rejected,typed_canonical
budget,fixed_ax_complete,f1f15b2967c34b3,holdout,-,-,44409cdd879ab88,-,2048,2048,2048,charged_exact,active_builds=3;active_actions=4;active_probes=4
receipt,fixed_ax_complete,d13917d0f504513,holdout,2513f85d64cb1bda,5bafd6bd981fedf8,6488d024155da2b,d53bd3a187721a8,1,1,1,rejected,typed_canonical
receipt,fixed_ax_complete,d13917d0f504513,holdout,4e9640b247c85a05,58967315222620f1,6488d024155da2b,10aaebf672bc000a,2,2,2,rejected,typed_canonical
receipt,fixed_ax_complete,d13917d0f504513,holdout,e0ff2587dbccd344,1bc903704d0b2b1a,6488d024155da2b,cd0b57c3d461cc32,3,3,3,rejected,typed_canonical
