n,label,bits,historical_portfolio_length,fixed_length,learned_length,delta_vs_fixed,delta_vs_historical,grammar,base,builds,valid,replay_equal
83068450,MID,27,33,33,32,1,1,EXACT_DIGIT_RADIX_HORNER,128,4000,true,true
16099543,MID,24,31,31,31,0,0,FIXED_PORTFOLIO,0,4000,true,true
902013578,MID,30,37,37,36,1,1,EXACT_DIGIT_RADIX_HORNER,64,4000,true,true
7047869878,MID,33,42,41,41,0,1,FIXED_PORTFOLIO,0,4000,true,true
9006168,MID,24,29,29,29,0,0,FIXED_PORTFOLIO,0,4000,true,true
793925864,MID,30,37,37,37,0,0,FIXED_PORTFOLIO,0,4000,true,true
129008354243,MID,37,45,45,45,0,0,FIXED_PORTFOLIO,0,4000,true,true
22372917,MID,25,30,31,31,0,-1,FIXED_PORTFOLIO,0,4000,true,true
128091250050,MID,37,47,46,46,0,1,FIXED_PORTFOLIO,0,4000,true,true
1017514264,MID,30,36,36,36,0,0,FIXED_PORTFOLIO,0,4000,true,true
222451659515,MID,38,49,47,47,0,2,FIXED_PORTFOLIO,0,4000,true,true
43978061329,MID,36,45,45,45,0,0,FIXED_PORTFOLIO,0,4000,true,true
18713405933,MID,35,45,44,44,0,1,FIXED_PORTFOLIO,0,4000,true,true
134671139987,MID,37,46,46,46,0,0,FIXED_PORTFOLIO,0,4000,true,true
16512375905,MID,34,43,43,42,1,1,EXACT_DIGIT_RADIX_HORNER,256,4000,true,true
14596230104,MID,34,40,40,40,0,0,FIXED_PORTFOLIO,0,4000,true,true
41624079645,MID,36,45,45,45,0,0,FIXED_PORTFOLIO,0,4000,true,true
116391505210,MID,37,47,46,46,0,1,FIXED_PORTFOLIO,0,4000,true,true
813649516,MID,30,37,37,37,0,0,FIXED_PORTFOLIO,0,4000,true,true
9031966925,MID,34,41,41,41,0,0,FIXED_PORTFOLIO,0,4000,true,true
26862964,MID,25,32,32,32,0,0,FIXED_PORTFOLIO,0,4000,true,true
94432561,MID,27,33,33,33,0,0,FIXED_PORTFOLIO,0,4000,true,true
499331993551,MID,39,47,47,47,0,0,FIXED_PORTFOLIO,0,4000,true,true
527451916575,MID,39,49,50,50,0,-1,FIXED_PORTFOLIO,0,4000,true,true
424293284995,MID,39,49,49,49,0,0,FIXED_PORTFOLIO,0,4000,true,true
3825510871,MID,32,40,39,39,0,1,FIXED_PORTFOLIO,0,4000,true,true
724375769458,MID,40,48,48,48,0,0,FIXED_PORTFOLIO,0,4000,true,true
12086631135,MID,34,42,42,42,0,0,FIXED_PORTFOLIO,0,4000,true,true
567134945,MID,30,37,37,37,0,0,FIXED_PORTFOLIO,0,4000,true,true
5563632642,MID,33,40,40,40,0,0,FIXED_PORTFOLIO,0,4000,true,true
3686328181,MID,32,40,40,40,0,0,FIXED_PORTFOLIO,0,4000,true,true
1020884135,MID,30,38,39,39,0,-1,FIXED_PORTFOLIO,0,4000,true,true
665077623690,MID,40,50,49,49,0,1,FIXED_PORTFOLIO,0,4000,true,true
858046873328,MID,40,49,49,49,0,0,FIXED_PORTFOLIO,0,4000,true,true
12452100886,MID,34,42,43,43,0,-1,FIXED_PORTFOLIO,0,4000,true,true
558603809,MID,30,37,37,37,0,0,FIXED_PORTFOLIO,0,4000,true,true
58362085015,MID,36,46,46,46,0,0,FIXED_PORTFOLIO,0,4000,true,true
858105880543,MID,40,50,50,50,0,0,FIXED_PORTFOLIO,0,4000,true,true
45414478421,MID,36,45,45,45,0,0,FIXED_PORTFOLIO,0,4000,true,true
588487704,MID,30,35,35,35,0,0,FIXED_PORTFOLIO,0,4000,true,true
3065452529,MID,32,40,41,41,0,-1,FIXED_PORTFOLIO,0,4000,true,true
366759653114,MID,39,48,48,48,0,0,FIXED_PORTFOLIO,0,4000,true,true
697099893863,MID,40,49,49,49,0,0,FIXED_PORTFOLIO,0,4000,true,true
119165253182,MID,37,48,48,48,0,0,FIXED_PORTFOLIO,0,4000,true,true
78190856,MID,27,32,32,32,0,0,FIXED_PORTFOLIO,0,4000,true,true
22483624613,MID,35,42,42,42,0,0,FIXED_PORTFOLIO,0,4000,true,true
71655843117,MID,37,45,46,46,0,-1,FIXED_PORTFOLIO,0,4000,true,true
8724279598,MID,34,40,40,40,0,0,FIXED_PORTFOLIO,0,4000,true,true
1092948893132,MID,40,50,50,50,0,0,FIXED_PORTFOLIO,0,4000,true,true
3725164237,MID,32,40,40,40,0,0,FIXED_PORTFOLIO,0,4000,true,true
943314116946,MID,40,50,50,50,0,0,FIXED_PORTFOLIO,0,4000,true,true
485813297,MID,29,36,36,36,0,0,FIXED_PORTFOLIO,0,4000,true,true
3311189934,MID,32,41,41,41,0,0,FIXED_PORTFOLIO,0,4000,true,true
27815784,MID,25,30,30,30,0,0,FIXED_PORTFOLIO,0,4000,true,true
18357338155,MID,35,42,42,42,0,0,FIXED_PORTFOLIO,0,4000,true,true
17152108695,MID,34,43,43,43,0,0,FIXED_PORTFOLIO,0,4000,true,true
6490899350,MID,33,41,41,41,0,0,FIXED_PORTFOLIO,0,4000,true,true
32691448104,MID,35,44,44,44,0,0,FIXED_PORTFOLIO,0,4000,true,true
212572681,MID,28,35,35,35,0,0,FIXED_PORTFOLIO,0,4000,true,true
866367175135,MID,40,50,50,50,0,0,FIXED_PORTFOLIO,0,4000,true,true
