mode,run,seed,iters,pool,pool_seeds,max_len,allow_step,consts,rng,novelty_weight,edge_penalty_weight,best_iter,avalanche,balance,period,chisq,length,base_composite,novelty,quick_edge_penalty,score,delta_ref,accepted,evaluated,edge_avalanche,fixed_points,zero_outputs,unique_low16,zero_out,one_out,ones_out,program_hash,beats_ref
guided,0,0x5018DCDDA672D287,2500,32,64,8,0,standard,discovered,3.0000,4.0000,1864,32.0068,31.9805,4096,229.6250,8,45.8340,1.6667,0.0000,50.8340,-0.3677,793,2564,31.7578,0,0,3960,0x63CFFBEF85362DF4,0x36A26FC852F72306,0xCBE2B32CAA052F23,0xAF6814305C3069E,0
guided,1,0x5706BE23C3D6F7F3,2500,32,64,8,0,standard,discovered,3.0000,4.0000,2227,31.9941,32.0039,4096,258.5000,8,45.8869,1.6380,0.0000,50.8009,-0.3148,842,2564,31.8813,0,0,4096,0xEEF9306E383FBC6D,0x944F22A00B2FECDB,0x52C8A8045B3A8803,0xB88AA0244E8C352B,0
guided,2,0xA002F8F2D251AD34,2500,32,64,8,0,standard,discovered,3.0000,4.0000,2443,32.0574,31.9805,4096,237.1250,8,45.3286,1.6771,0.0000,50.3599,-0.8730,786,2564,31.9938,0,0,4011,0x9BB0D2FFC105C46D,0x6551334BB16D9CB4,0xFFE475194E37EC4E,0xB22AA343D801E877,0
guided,3,0x23EAD575D1DBA23F,2500,32,64,8,0,standard,discovered,3.0000,4.0000,1648,31.9951,32.0039,4096,262.2500,8,45.8591,1.7135,0.0000,50.9998,-0.3425,689,2564,31.9391,0,0,3972,0xDEE3AF39E7AA9FAE,0xB5DFD3D2DF301FCB,0xC160FAA492FEA75E,0xA3105467D495FB2D,0
guided,4,0x50E4E9B19C7F3F1A,2500,32,64,8,0,standard,discovered,3.0000,4.0000,2235,31.9695,31.9805,4096,250.3750,8,45.5972,1.6068,0.0000,50.4175,-0.6045,803,2564,31.9406,0,0,3971,0x682E70A5B6D4AFDC,0x28FCE50EDD73ACA9,0x8AC5A264C2E0CE81,0x118201C088193535,0
guided,5,0xAE3AC14330BD09A5,2500,32,64,8,0,standard,discovered,3.0000,4.0000,2336,31.9980,31.9961,4096,214.5000,8,45.9609,1.6276,0.0000,50.8438,-0.2407,781,2564,32.1188,0,0,3987,0x815FAB74844DC75B,0xF3A12918C1678794,0x8CE4C04ED46FC28E,0xF2EA2D7DB6CFF831,0
