trial,min_ref_dist,mean_ref_dist,violations,frontier,score,past_parent,field_hash
0,295,296.6250,1479,295,294998525119119000,1,0x8A322DEB0DC99179
1,295,296.7917,1471,295,294998533125123000,1,0x87CD42618DEEBC83
2,296,297.4583,1484,296,295998520336139000,1,0xF5F4A345949EE7E8
3,295,296.2083,1471,295,294998533119109000,1,0xDF299E173FC680BE
4,295,295.8750,1477,295,294998527708101000,1,0x519F3336C9924C72
5,295,296.6250,1481,295,294998522924119000,1,0x791665120AF59139
6,295,296.5417,1476,295,294998528314117000,1,0x183317C1B9C9677D
7,295,295.9583,1479,295,294998525511103000,1,0xDD82C1A1CBEF0105
8,295,296.3750,1474,295,294998530320113000,1,0xA52CE2F0F6144F0E
9,295,296.8750,1470,295,294998533931125000,1,0x89A2EBBD4C9B703B
10,295,296.0417,1483,295,294998521512105000,1,0xCE9BA2D0A7113C8C
11,295,295.9583,1482,295,294998522511103000,1,0x17A6359B632D5AE6
