trial,engine,mode,best_min_dist,nearest,closure,mean_dist,max_dist,past_envelope,score
0,prototype_pull,prototype_pull,293,CODE,427038249,300.1000,319,1,2339.132616
1,prototype_pull,prototype_pull,293,CODE,427066299,300.1000,319,1,2339.132550
2,prototype_pull,prototype_pull,293,CODE,427539326,300.1000,319,1,2339.131443
