trial,min_ref_dist,mean_ref_dist,violations,frontier,score,past_parent,field_hash
0,294,296.7917,1492,294,293998511711123000,1,0x8FFCE62B84CE3BF5
1,294,296.7083,1489,294,293998514513121000,1,0x8F4323FD7F0C8E75
2,293,296.3750,1476,293,292998527500113000,1,0x51504D2DD96663AC
3,294,296.5417,1477,294,293998526902117000,1,0x75CD2D2B70F12C4A
4,294,297.2083,1490,293,293998513515133000,1,0x6B88536AABDC7D4E
5,294,296.5417,1499,294,293998504513117000,1,0xBCDD032D351CA419
6,293,295.8750,1476,293,292998527887101000,1,0xCB24FA70E94FD333
7,293,297.0417,1478,292,292998524913129000,1,0x3D2910C254075F63
8,294,297.2083,1487,293,293998516515133000,1,0x44E7C83D33304EF3
9,293,296.4583,1483,293,292998520111115000,1,0x1FCF5049B718B750
10,294,296.9583,1484,293,293998519714127000,1,0x476C0017DC2945A2
11,293,296.3750,1478,292,292998525110113000,1,0xD9E5BBF291D9834A
12,294,296.2083,1485,293,293998518712109000,1,0x67AD925EC6657528
13,294,296.7917,1491,294,293998512518123000,1,0x6C275934B39ED4D
14,294,297.2083,1486,294,293998517320133000,1,0xACEC7F838AEC58AA
15,294,296.8750,1483,294,293998520914125000,1,0x1F5D577C7EDC3DAC
16,294,296.2083,1475,294,293998529306109000,1,0x9EB89E40D0D6F289
17,294,296.7917,1482,293,293998521321123000,1,0x4EA4B445C4F1C486
18,294,296.7083,1490,294,293998513907121000,1,0xB5C97C17A7289DB4
19,294,296.7083,1497,294,293998506708121000,1,0x24F5ACA36AB66092
20,293,295.9583,1482,293,292998521301103000,1,0xBFEAA6CBBF6C59CE
21,293,296.2083,1458,293,292998545694109000,1,0xDE783E68D7ABC510
22,294,297.2083,1489,294,293998514715133000,1,0xD8C0D0E867876934
23,294,297.1250,1477,294,293998526710131000,1,0xF14283737C3EFDFB
