artifact,battery,partition,worlds,components,steps,propagation_events,law_families,checksum,verdict
round_ar,AR1,mixed_with_heldout,288,64,480,8847360,32,6ef8a31fc1814068,checkpoint
round_ar,AR1,mixed_with_heldout,576,64,480,17694720,32,4cdb95e546e60dfb,checkpoint
round_ar,AR1,mixed_with_heldout,864,64,480,26542080,32,c17ff5b8d0d7fdde,checkpoint
round_ar,AR1,mixed_with_heldout,1152,64,480,35389440,32,c351aedec903e446,checkpoint
round_ar,AR1,mixed_with_heldout,1440,64,480,44236800,32,4332b161501d3351,checkpoint
round_ar,AR1,mixed_with_heldout,1728,64,480,53084160,32,49a2c7766d458d91,checkpoint
round_ar,AR1,mixed_with_heldout,2016,64,480,61931520,32,9de5e4983e022991,checkpoint
round_ar,AR1,mixed_with_heldout,2304,64,480,70778880,32,86d8de3ebd9183d3,checkpoint
round_ar,AR1,mixed_with_heldout,2592,64,480,79626240,32,596222ec3a7fe70a,checkpoint
round_ar,AR1,mixed_with_heldout,2880,64,480,88473600,32,b2b2826d6ddbb06c,checkpoint
round_ar,AR1,mixed_with_heldout,3168,64,480,97320960,32,8c53272bda9ec540,checkpoint
round_ar,AR1,mixed_with_heldout,3456,64,480,106168320,32,a0e9349fc1bd0f6d,checkpoint
round_ar,AR1,mixed_with_heldout,3744,64,480,115015680,32,2cf0121378e75e65,checkpoint
round_ar,AR1,mixed_with_heldout,4032,64,480,123863040,32,f86b2723e00b8fc0,checkpoint
round_ar,AR1,mixed_with_heldout,4320,64,480,132710400,32,3f19e5a774006979,checkpoint
round_ar,AR1,mixed_with_heldout,4608,64,480,141557760,32,6e034a20017b9a9e,checkpoint
round_ar,AR1,mixed_with_heldout,4896,64,480,150405120,32,3140238364dc42e6,checkpoint
round_ar,AR1,mixed_with_heldout,5184,64,480,159252480,32,daf4a412adf4b2d9,checkpoint
round_ar,AR1,mixed_with_heldout,5472,64,480,168099840,32,c15cc537f6c3c6f9,checkpoint
round_ar,AR1,mixed_with_heldout,5760,64,480,176947200,32,418f9b7af6ba042d,checkpoint
round_ar,AR1,mixed_with_heldout,6048,64,480,185794560,32,ec17bc55903ab2e5,checkpoint
round_ar,AR1,mixed_with_heldout,6336,64,480,194641920,32,4055cac4a64f1662,checkpoint
round_ar,AR1,mixed_with_heldout,6624,64,480,203489280,32,663d389c44f7f22a,checkpoint
round_ar,AR1,mixed_with_heldout,6912,64,480,212336640,32,84d5390e006c25d4,checkpoint
round_ar,AR1,mixed_with_heldout,7200,64,480,221184000,32,86540bc6b72707bf,checkpoint
round_ar,AR1,mixed_with_heldout,7488,64,480,230031360,32,66c86103e1da6612,checkpoint
round_ar,AR1,mixed_with_heldout,7776,64,480,238878720,32,b97897f0c6be5a2c,checkpoint
round_ar,AR1,mixed_with_heldout,8064,64,480,247726080,32,40252dd990e2c16f,checkpoint
round_ar,AR1,mixed_with_heldout,8352,64,480,256573440,32,f93a61e88272b661,checkpoint
round_ar,AR1,mixed_with_heldout,8640,64,480,265420800,32,b4884c4feefca508,checkpoint
round_ar,AR1,mixed_with_heldout,8928,64,480,274268160,32,1d49a2739287f726,checkpoint
round_ar,AR1,mixed_with_heldout,9216,64,480,283115520,32,3d655bbc1488eb7d,checkpoint
round_ar,AR1,mixed_with_heldout,9504,64,480,291962880,32,97a8994cbc754d9b,checkpoint
round_ar,AR1,mixed_with_heldout,9792,64,480,300810240,32,1b5a0639d0d9c75,checkpoint
round_ar,AR1,mixed_with_heldout,10080,64,480,309657600,32,c03709e1a6d1b16a,checkpoint
round_ar,AR1,mixed_with_heldout,10368,64,480,318504960,32,e9ea9e91af72403,checkpoint
round_ar,AR1,mixed_with_heldout,10656,64,480,327352320,32,c389facfd0df6a56,checkpoint
round_ar,AR1,mixed_with_heldout,10944,64,480,336199680,32,962f5e2f656202af,checkpoint
round_ar,AR1,mixed_with_heldout,11232,64,480,345047040,32,104c8a5383ccdb62,checkpoint
round_ar,AR1,mixed_with_heldout,11520,64,480,353894400,32,82f4d204cba81562,checkpoint
round_ar,AR1,mixed_with_heldout,11808,64,480,362741760,32,8a4c7c06790b86e6,checkpoint
round_ar,AR1,mixed_with_heldout,12096,64,480,371589120,32,d7e297899675b3b7,checkpoint
round_ar,AR1,mixed_with_heldout,12384,64,480,380436480,32,871edcd7755614a2,checkpoint
round_ar,AR1,mixed_with_heldout,12672,64,480,389283840,32,2145b0074add3105,checkpoint
round_ar,AR1,mixed_with_heldout,12960,64,480,398131200,32,f3725c6fb7f05fc,checkpoint
round_ar,AR1,mixed_with_heldout,13248,64,480,406978560,32,415db1e23fa54316,checkpoint
round_ar,AR1,mixed_with_heldout,13536,64,480,415825920,32,32f895c67e3b195c,checkpoint
round_ar,AR1,mixed_with_heldout,13824,64,480,424673280,32,724c22e691d1097c,checkpoint
round_ar,AR1,mixed_with_heldout,14112,64,480,433520640,32,7fa4da2932c9e427,checkpoint
round_ar,AR1,mixed_with_heldout,14400,64,480,442368000,32,c794676d5214a605,checkpoint
round_ar,AR1,mixed_with_heldout,14688,64,480,451215360,32,5b0c98dc2d838fcf,checkpoint
round_ar,AR1,mixed_with_heldout,14976,64,480,460062720,32,9b5ff900020e49cd,checkpoint
round_ar,AR1,mixed_with_heldout,15264,64,480,468910080,32,a069cb0970826832,checkpoint
round_ar,AR1,mixed_with_heldout,15552,64,480,477757440,32,e2fbc5ba6d45441,checkpoint
round_ar,AR1,mixed_with_heldout,15840,64,480,486604800,32,459eb0cb6f4083c3,checkpoint
round_ar,AR1,mixed_with_heldout,16128,64,480,495452160,32,d69f0af5553bdd22,checkpoint
round_ar,AR1,mixed_with_heldout,16416,64,480,504299520,32,a3b0a8a4852bc0fa,checkpoint
round_ar,AR1,mixed_with_heldout,16704,64,480,513146880,32,dab92a215d43a929,checkpoint
round_ar,AR1,mixed_with_heldout,16992,64,480,521994240,32,bed8408b386cdd9a,checkpoint
round_ar,AR1,mixed_with_heldout,17280,64,480,530841600,32,8245aa29ddaab157,checkpoint
round_ar,AR1,mixed_with_heldout,17568,64,480,539688960,32,765bca13cfa2669e,checkpoint
round_ar,AR1,mixed_with_heldout,17856,64,480,548536320,32,13be114ca272e77f,checkpoint
round_ar,AR1,mixed_with_heldout,18144,64,480,557383680,32,e469195f22746da2,checkpoint
round_ar,AR1,mixed_with_heldout,18432,64,480,566231040,32,cd7e4a22caf9df01,checkpoint
round_ar,AR1,mixed_with_heldout,18720,64,480,575078400,32,8f20f88b57b25b5d,checkpoint
round_ar,AR1,mixed_with_heldout,19008,64,480,583925760,32,b0ac9d8d31499876,checkpoint
round_ar,AR1,mixed_with_heldout,19296,64,480,592773120,32,b8c69cc88a777630,checkpoint
round_ar,AR1,mixed_with_heldout,19584,64,480,601620480,32,2ce584e4edb5bd78,checkpoint
round_ar,AR1,mixed_with_heldout,19872,64,480,610467840,32,eb0faabf87e0120b,checkpoint
round_ar,AR1,mixed_with_heldout,20160,64,480,619315200,32,421b75d9e0ea2442,checkpoint
round_ar,AR1,mixed_with_heldout,20448,64,480,628162560,32,87bb8e022901e04a,checkpoint
round_ar,AR1,mixed_with_heldout,20736,64,480,637009920,32,2b0498c441350627,checkpoint
round_ar,AR1,mixed_with_heldout,21024,64,480,645857280,32,a27f81b5672c0fff,checkpoint
