trial,min_ref_dist,mean_ref_dist,violations,frontier,score,past_parent,field_hash
0,295,296.6250,1466,295,294998538123119000,0,0xCFDAE4859E0889C2
1,295,296.4583,1470,295,294998534522115000,0,0xAE8D1C7B4282392B
2,295,297.0417,1475,295,294998528729129000,0,0x76972EF9FEBF85E9
3,295,296.2917,1479,295,294998525516111000,0,0x86F3FF0BD87377CB
4,295,295.7083,1475,295,294998529704097000,0,0xC0DB210C33407679
5,295,296.7083,1476,295,294998528124121000,0,0x47EF53BB10BFEADC
6,295,296.7917,1469,295,294998535129123000,0,0x4B0F94B44DD72E6C
7,295,297.2917,1475,295,294998528928135000,0,0x6654E59A1BA727FD
