source_id,adapter,request_digest,origin,retrieval_time_utc,content_digest,policy,license_status,relevance,reputation,contradiction,decision,reason,lineage
S1-001,"crossref_public_metadata_index",a67be2cae9a713dd,"https://api.crossref.org/works?rows=3&query=invent%20a%20relation%20preserving%20verified%20program",1784155650,14650fb0739d0383,read_only_general_policy,unknown_remote_license,0,85,0,BLOCKED,"NETWORK_DNS_UNAVAILABLE",provider:crossref_public_metadata_index;request:a67be2cae9a713dd;origin:7ef29ce6c90dade0;content:14650fb0739d0383;curl_exit:6
S1-002,"openalex_public_metadata_index",a67be2cae9a713dd,"https://api.openalex.org/works?per-page=3&search=invent%20a%20relation%20preserving%20verified%20program",1784155650,14650fb0739d0383,read_only_general_policy,unknown_remote_license,0,80,0,BLOCKED,"NETWORK_DNS_UNAVAILABLE",provider:openalex_public_metadata_index;request:a67be2cae9a713dd;origin:2b6d36acf0f5f7ad;content:14650fb0739d0383;curl_exit:6
campaign_closure,live_public_adapter,a67be2cae9a713dd,no_fixture_substitution,1784155650,na,read_only_general_policy,unknown_remote_license,na,na,na,SEALED,ADMITTED_0_OF_2;live_capture_required_for_downstream,canonical_provider_sorted
