generation,role,mutation_rate,crossover_rate,pool_size,t_start,cooling_exponent,restart_period,parent_selection_id,replacement_policy_id,acceptance_policy_id,cooling_schedule_id,train_hits,train_runs,train_hit_rate,validation_hits,validation_runs,validation_hit_rate,test_hits,test_runs,test_hit_rate,budget_scale
0,incumbent,0.750000,0.250000,16,8.000000,1.000000,0,0,0,0,0,7,8,0.875000,4,8,0.500000,5,8,0.625000,0.020000
1,candidate,0.468133,0.481767,18,43.785629,2.749009,505,2,0,1,3,7,8,0.875000,4,8,0.500000,3,8,0.375000,0.020000
2,candidate,0.379317,0.156608,15,0.800886,2.392181,1134,2,0,1,3,7,8,0.875000,3,8,0.375000,3,8,0.375000,0.020000
3,candidate,0.592111,0.285975,16,8.000000,1.297633,0,0,0,2,0,7,8,0.875000,3,8,0.375000,3,8,0.375000,0.020000
4,candidate,0.724951,0.275049,39,19.274222,1.187934,670,1,0,1,0,8,8,1.000000,4,8,0.500000,5,8,0.625000,0.020000
