target_audit_only,seed_audit,arm,trial,total_candidate_evaluations,global_alloc,singleton_alloc,partition_alloc,none_alloc,validation_accuracy,test_accuracy,g_gain,g_residual,s_gain,s_residual,p_gain,p_residual,result
DESCRIPTOR,0x1301,global_train,0,120,0,0,0,0,0,0,0.4967,0.0000,0.1083,0.3883,0.0850,0.4117,admit_partition=no
DESCRIPTOR,0x1302,singleton_train,0,120,0,0,0,0,0,0,-0.0783,0.3350,0.2567,0.0000,-0.0717,0.3283,admit_partition=no
DESCRIPTOR,0x1303,partition_twocell_train,0,120,0,0,0,0,0,0,-0.0233,0.4567,-0.0267,0.4600,0.0617,0.3717,admit_partition=no
DESCRIPTOR,0x1304,none_train,0,120,0,0,0,0,0,0,0.0217,0.4517,0.0183,0.4550,0.0083,0.4650,admit_partition=no
global_holdout,0x1311,response_guided,0,420,253,37,5,5,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,fixed_menu,0,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,target_blind_coverage,0,420,0,0,300,0,0.6233,0.5667,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,nonexact
global_holdout,0x1311,iid_random,1,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,2,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,3,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,4,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,5,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,6,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,7,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,8,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,9,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,10,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,11,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,12,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,13,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,14,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,15,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
global_holdout,0x1311,iid_random,16,420,75,75,75,75,1.0000,1.0000,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,exact
DESCRIPTOR,0x1311,global_holdout,0,120,0,0,0,0,0,0,0.4767,0.0000,0.0717,0.4050,0.0533,0.4233,admit_partition=no
global_holdout,0x11311,response_guided,0,420,231,52,4,13,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,fixed_menu,0,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,target_blind_coverage,0,420,0,0,300,0,0.6133,0.5800,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,nonexact
global_holdout,0x11311,iid_random,1,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,2,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,3,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,4,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,5,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,6,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,7,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,8,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,9,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,10,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,11,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,12,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,13,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,14,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,15,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
global_holdout,0x11311,iid_random,16,420,75,75,75,75,1.0000,1.0000,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,exact
DESCRIPTOR,0x11311,global_holdout,0,120,0,0,0,0,0,0,0.5000,0.0000,0.1133,0.3867,0.1000,0.4000,admit_partition=no
global_holdout,0x21311,response_guided,0,420,255,33,6,6,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,fixed_menu,0,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,target_blind_coverage,0,420,0,0,300,0,0.6733,0.6000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,nonexact
global_holdout,0x21311,iid_random,1,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,2,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,3,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,4,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
global_holdout,0x21311,iid_random,5,420,75,75,75,75,1.0000,1.0000,0.4233,0.0000,0.0567,0.3667,0.0500,0.3733,exact
